record_id,candidate,design_dimension,independent_source_id,source_packet_id,DOI,UT,publication_year,system_relevance,study_type,traceability,entailment,direction,semantic_review_multiplier,semantic_review_status,included_in_ds
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,cost_environment,doi:10.1039/d4ra00762j,source_packet_0f5b53209b998cf7,10.1039/d4ra00762j,WOS:001203633100001,2024,PBA_only,review,exact_chunk_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,wet_chemical_synthesis,doi:10.1039/d4ra00762j,source_packet_0f5b53209b998cf7,10.1039/d4ra00762j,WOS:001203633100001,2024,PBA_only,review,exact_chunk_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,PBA_only,review,abstract_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,PBA_only,review,abstract_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,PBA_only,review,abstract_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,cost_environment,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,PBA_only,review,abstract_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,PBA_only,review,abstract_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,PBA_only,review,abstract_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,PBA_only,review,abstract_DOI_UT,contextual,support,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,wet_chemical_synthesis,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,PBA_only,review,identified_record,none,not_addressed,0.9674014658411585,machine_unreviewed,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,doi:10.1039/d3ta01967e,source_packet_403b83b1820dfc33,10.1039/d3ta01967e,WOS:001063921500001,2023,PBA_only,experimental,abstract_DOI_UT,contextual,support,1,human_accepted,yes
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,uor_activity,doi:10.1039/d3ta01967e,source_packet_403b83b1820dfc33,10.1039/d3ta01967e,WOS:001063921500001,2023,PBA_only,experimental,identified_record,none,not_addressed,1,human_accepted,yes
