record_id,candidate,design_dimension,claim_id,included_after_human_review
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,claim_fdc40e24a8cb3f49,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,uor_activity,claim_b18e969f5a391452,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,claim_544620f0db34e891,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,uor_activity,claim_a59751a1e6532733,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,substitution_and_synergy,claim_5b8a865395757c57,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,uor_activity,claim_cafbd1d4758ec6cc,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,substitution_and_synergy,claim_6d7858099c69720f,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,uor_activity,claim_e15f2c2c7aab9dec,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,uor_activity,claim_e5ef302aa8bfde2a,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,claim_f32d66cc9d7e0b3d,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,cost_environment,claim_1da4f6a29bb390bd,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,claim_d66cdca9c4d6960f,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,claim_9013d1c8d8a66570,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,substitution_and_synergy,claim_47b5c329aec5af63,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,uor_activity,claim_409d6edea91689f1,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,claim_6ebb4ec58825065d,True
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,wet_chemical_synthesis,claim_e511d0a6288a07bd,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,uor_activity,claim_51bc9206c58a26c2,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,claim_30571cd0081f4aa3,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,substitution_and_synergy,claim_59b45877815798b4,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,claim_613826396204057a,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,uor_activity,claim_40764b0b7184633f,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,uor_activity,claim_4b6dfe97beaca439,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,uor_activity,claim_0db5a93e60816b6f,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,claim_3cc03a0839a41edf,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,claim_7e8343cf5e7d37c9,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,claim_326e5eab302a7893,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,substitution_and_synergy,claim_72560f1af40b9575,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,claim_70235c5b33694a5e,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,uor_activity,claim_52938e65cdb55207,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,claim_7a675dae8db2804f,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,uor_activity,claim_54ac3806eaaca55c,True
run_e78a48b951b2ee6e,Fe-Co-Ni-Cu-Zn,wet_chemical_synthesis,claim_2ecade97a198b3cc,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,pba_structural_compatibility,claim_0c6e0177cf4a1931,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,substitution_and_synergy,claim_fc002f858f6fb2db,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,uor_activity,claim_20b1fc2054c48112,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,uor_activity,claim_f0103bb7d90b47ca,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,uor_activity,claim_340ca893833e4a01,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,uor_activity,claim_48579c10bb2e6433,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,uor_activity,claim_60ff687600d5a964,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,wet_chemical_synthesis,claim_5b0a6178c7c7eef7,True
run_e031b877f070eb35,Fe-Co-Ni-Mn-Cu,uor_activity,claim_96e92f5b1c5097d5,True
