PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Xu, W; Wu, ZC; Tao, SW				Xu, Wei; Wu, Zucheng; Tao, Shanwen			Urea-Based Fuel Cells and Electrocatalysts for Urea Oxidation	ENERGY TECHNOLOGY												Urea is a new member of hydrogen-storage materials for low-temperature fuel cells. It avoids issues of toxicity and safety compared to NH3 and hydrazine. The main limitation of urea-based fuel cells is their relatively low power densities due to the sluggish anode reactions. Rapid advances in nanocatalysts used for urea electro-oxidation have been achieved in lowering overpotential and improving activity. Urine, as a natural resource of urea, is also an environmental pollutant. Most technologies of treating urine with self-generation electricity are based on microbial fuel cells. However, microbes are only able to utilize the organic substrates rather than urea in urine. Chemical fuel cells in contrast directly oxidize urea to nitrogen gas, removing it from urine. Thus, urea-based fuel cells have been used as an alternative method to treat urine. In this Minireview, the progress in urea-based fuel cells and electrocatalysts for urea oxidation is reviewed.					Tao, Shanwen/O-6664-2018	Tao, Shanwen/0000-0001-6133-992X													2194-4288	2194-4296				NOV	2016	4	11					1329	1337		10.1002/ente.201600185	http://dx.doi.org/10.1002/ente.201600185													WOS:000388608100001
J	Ye, K; Wang, G; Cao, DX; Wang, GX				Ye, Ke; Wang, Gang; Cao, Dianxue; Wang, Guoxiong			Recent Advances in the Electro-Oxidation of Urea for Direct Urea Fuel Cell and Urea Electrolysis	TOPICS IN CURRENT CHEMISTRY												This paper provides an overview of recent advances in urea electro-oxidation. Urea sources are abundant from human urine, urea-containing wastewater, and industrial urea, thus becoming an attractive option as anodic fuel for the application in direct urea fuel cells (DUFCs). Besides, as a hydrogen-rich chemical fuel, urea can also be electrolyzed to produce hydrogen for energy storage in the near future. The exact mechanisms of urea decomposition are pretty different in alkaline or neutral mediums and are separately discussed in detail. More importantly, the development of anodic electro-catalysts is of great significance for improving the electrochemical performance of both DUFCs and urea electrolysis cells, which is systematically summarized in our review. Challenges and prospects on the future development of urea electro-oxidation are particularly proposed.					Wang, Guoxiong/F-8125-2017; Ye, Ke/T-8053-2017; Cao, Dianxue/I-7856-2019	Ye, Ke/0000-0003-2633-4503													2365-0869	2364-8961				DEC	2018	376	6							42	10.1007/s41061-018-0219-y	http://dx.doi.org/10.1007/s41061-018-0219-y								30367274					WOS:000448487800002
J	Xue, MW; Zhou, Z; Liu, BZ; Yu, JW; Qi, SY; Liu, QP; Liu, GQ				Xue, Mengwei; Zhou, Zhou; Liu, Benzhi; Yu, Jingwen; Qi, Shiyuan; Liu, Qinpu; Liu, Guangqing			Electrocatalytic Oxidation of Urea on Nickel Electrodeposited Glassy Carbon Electrode	INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE												Nickel electrodeposited glassy carbon electrode was prepared and the activity to the electrocatalytic oxidation of urea in an alkaline medium was investigated by cyclic voltammetry. The experiment was carried out in 1 mol/L KOH+0.1 mol/L urea under a three-electrode system. The effects of different scan rates, urea concentration, KOH concentration on the electrocatalytic oxidation of urea at nickel electrodeposited electrode were investigated. The results showed that the nickel electrodeposited electrode had a good electrocatalytic performance for urea oxidation.					XUE, MENG/JZD-0120-2024; Yu, Jingwen/ABF-7554-2020; Liu, Qinpu/HHS-3399-2022														1452-3981					NOV	2020	15	11					10816	10824		10.20964/2020.11.07	http://dx.doi.org/10.20964/2020.11.07													WOS:000591930300015
J	Urbanczyk, E; Jaron, A; Simka, W				Urbanczyk, Ewelina; Jaron, Artur; Simka, Wojciech			Electrocatalytic oxidation of urea on a sintered Ni-Pt electrode	JOURNAL OF APPLIED ELECTROCHEMISTRY												Urea is present in the environment as a result of large amounts of wastewater from various origins. One of the most effective methods for disposing of urea involves electrochemical oxidation. This study investigated the use of sintered Ni-Pt electrodes as anodes in the electrocatalytic oxidation of urea. The activity of the Ni-Pt electrodes was compared with those of conventional Ti/Pt and Ni electrodes. Based on our results, the sintered Ni-Pt electrodes exhibited much higher activity in the oxidation of urea compared with the conventional anodes.					Simka, Wojciech/AAW-9951-2020; Jaroń, Artur/A-3474-2013	/0000-0002-0302-3270													0021-891X	1572-8838				JAN	2017	47	1					133	138		10.1007/s10800-016-1024-3	http://dx.doi.org/10.1007/s10800-016-1024-3													WOS:000392077600013
J	Yang, LL; He, R; Wang, X; Yang, TT; Zhang, T; Zuo, Y; Lu, X; Liang, ZF; Li, JS; Arbiol, J; Martínez-Alanis, PR; Qi, XQ; Cabot, A				Yang, Linlin; He, Ren; Wang, Xiang; Yang, Tingting; Zhang, Ting; Zuo, Yong; Lu, Xuan; Liang, Zhifu; Li, Junshan; Arbiol, Jordi; Martinez-Alanis, Paulina R.; Qi, Xueqiang; Cabot, Andreu			Self-supported NiO/CuO electrodes to boost urea oxidation in direct urea fuel cells	NANO ENERGY												Direct urea fuel cells (DUFCs) can be used to treat residual wastewater while generating electricity. Herein, self-supported electrodes consisting of NiO nanosheets vertically grown on CuO nanowires are synthesized to realize the urea oxidation reaction (UOR). Such electrodes show excellent UOR performance requiring 1.39 V vs. RHE to achieve 100 mA/cm2. Besides, DUFCs provide open circuit voltages and power densities up to 0.88 V and 11.35 mW/cm2. Electrochemical characterization and Raman spectroscopy prove the formation of NiOOH to enable the UOR. Mott-Schottky analysis and UV photoelectron spectroscopy show the NiO/CuO p-p heterostructure to facilitate the charge transfer from CuO nanowires to NiO nanosheets. Besides, at a local level, density functional theory calculations show that the presence of CuO modulates the electronic states of Ni at the very NiOOH/CuO interface, which results in stretched Ni-O bonds and a uniquely elongated N-H bond of urea that favors its oxidation.					Arbiol, Jordi/B-6048-2008; Yang, Tingting/M-1550-2017; Wang, Xiang/B-6759-2019; Zuo, Yong/B-6607-2019; Zhang, Ting/MAH-8340-2025; R., Martínez-Alanis/AAS-6774-2021; cabot, andreu/B-5523-2019; Li, Junshan/A-7834-2019; Qi, Xueqiang/HJI-8490-2023; Martinez, Paulina/U-6871-2018	cabot, andreu/0000-0002-7533-3251; Li, Junshan/0000-0002-1482-1972; Wang, Xiang/0000-0002-5289-0864; HE, REN/0000-0003-3712-5539; Qi, Xueqiang/0000-0003-4566-9552; Martinez, Paulina/0000-0003-3675-4472; Zhang, Ting/0000-0002-0317-9662; Yang, Linlin/0009-0006-9953-5698; Arbiol, Jordi/0000-0002-0695-1726													2211-2855	2211-3282				OCT	2023	115								108714	10.1016/j.nanoen.2023.108714	http://dx.doi.org/10.1016/j.nanoen.2023.108714		JUL 2023											WOS:001044276300001
J	Yang, DW; Yang, LT; Zhong, L; Yu, X; Feng, LG				Yang, Dawen; Yang, Liting; Zhong, Lei; Yu, Xu; Feng, Ligang			Urea electro-oxidation efficiently catalyzed by nickel-molybdenum oxide nanorods	ELECTROCHIMICA ACTA												Electrochemical oxidation of urea plays a significant role in electrochemical removal urea in the waste-water and energy conversation and storage. Here we demonstrated that nickel-molybdenum oxide nanorods were efficient catalysts for urea electro-oxidation. Nickel-molybdenum oxide nanorods were prepared with various Ni/Mo molar ratios in the precursors and the crystal structure, morphology and surface elements compositions of the nickel-molybdenum oxide nanorods were characterized by X-ray diffraction, Raman spectrum, scanning electron microscope, transmission electron microscope and X-ray photoelectron spectroscopy. The catalytic performance of urea oxidation and kinetics analysis were measured by cyclic voltammetry, chronoamperometry and electrochemical impedance spectroscopy; the process of urea catalyzed by nickel-molybdenum oxide was proposed to follow an electrochemical-chemical reaction mechanism in which urea oxidation happened accompanying the redox of NiOOH/Ni(OH)(2) at high potentials. The catalytic ability for urea oxidation was varied by changing the ratio of Ni/Mo in the precursors, and the rapid kinetics, small charge transfer resistance and low Tafel slope consistently supported NiMoO4-C (Ni/Mo = 2) materials as the best catalyst for urea electro-oxidation. The desirable electrocatalytic activity, stability and tolerance towards urea oxidation indicated its promising applications in sustainable energy techniques and alleviating water contamination. (C) 2018 Elsevier Ltd. All rights reserved.					Zhong, Lei/IZE-0756-2023; Yu, Xu/GOV-4714-2022; Feng, Ligang/E-9507-2014	Feng, Ligang/0000-0001-9879-0773; Yu, Xu/0000-0002-1881-3013													0013-4686	1873-3859				FEB 1	2019	295						524	531		10.1016/j.electacta.2018.10.190	http://dx.doi.org/10.1016/j.electacta.2018.10.190													WOS:000454249800063
J	Wu, FC; Ou, G; Wang, Y; Zhong, HZ; Zhang, LF; Li, HA; Shi, YM				Wu, Fengchi; Ou, Gang; Wang, Ye; Zhong, Haizhe; Zhang, Lifu; Li, Henan; Shi, Yumeng			Defective NiFe2O4 Nanoparticles for Efficient Urea Electro-oxidation	CHEMISTRY-AN ASIAN JOURNAL												Urea is an important organic pollutants in sewage and needs to be removed for environmental protection. Here, we report defective NiFe2O4 (NFO) nanoparticles with excellent performance for urea electro-oxidation. The results show that defects can be effectively implanted at the surface of NFO nanoparticles by a facile and versatile lithium reduction method without affecting its main crystal structure and grain size. The defective NFO-5Li nanoparticles displayed a significantly improved urea electro-oxidation performance compared with NFO-Pristine nanoparticles. Particularly, the NFO-Pristine and NFO-5Li show a potential of 1.398 and 1.361 V at the current density of 10 mA cm(-2) and Tafel slope of 37.3 and 31.4 mV dec(-1), respectively. In addition, the NFO-5Li nanoparticles also revealed outstanding electrocatalytic stability. The superior performance can be attributed to the designed tunable surface defect engineering. Furthermore, the defect engineering strategy as well as the defective NFO nanoparticles hold great potential for applications in other materials and areas.					Li, Henan/GQZ-1966-2022; Ye, Wang/AAG-8998-2020; Shi, Yumeng/A-7349-2012	Shi, Yumeng/0000-0002-9623-3778													1861-4728	1861-471X				AUG 16	2019	14	16					2796	2801		10.1002/asia.201900752	http://dx.doi.org/10.1002/asia.201900752		JUL 2019						31283863					WOS:000477162300001
J	Xu, R; Huang, JY; Zhou, YM				Xu, Ran; Huang, Jingyi; Zhou, Yuming			Ni@C Microspheres as Efficient catalyst for Urea Electro-oxidation	INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE												Urea is able to be used as a useful fuel in the direct urea fuel cell. Novel structure and morphology is essential to improve the catalytic performance of catalysts for urea electro-oxidation. Preparation of Ni@C microspheres with Ni-btc (btc=benzene-1,3,5-tricarboxylate) microspheres as precursor was developed herein. These Ni@C microspheres are modified to the glassy carbon electrode and the electrocatalytic performance of Ni@C microspheres for urea electro-oxidation is investigated in an alkaline solution. Experimental results showed that Ni@C microspheres have excellent urea electro-oxidation performance which attributes to the electrocatalytic activity of Ni and high electrical conductivity of C in the Ni@C microspheres.					Huang, Jingyi/KCY-2239-2024; Xu, Ran/KMY-2774-2024														1452-3981					MAR	2021	16	3							210360	10.20964/2021.03.60	http://dx.doi.org/10.20964/2021.03.60													WOS:000629654700060
J	Jin, JX; Zhou, L; Sun, WJ; Zheng, YT; Liu, BZ				Jin, Jianxiang; Zhou, Lin; Sun, Wenjie; Zheng, Yiting; Liu, Benzhi			Study on the electrocatalytic oxidation of urea at nickel/iron deposited electrodes	INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE												Nickel and nickel-iron modified glass carbon electrodes were prepared by electrodeposition in 20 mmol/LNiSO4 and 5 mmol/LFeSO4 + 20 mmol/LNiSO4 solution. The electrocatalytic oxidation of urea at two modified electrodes under alkaline conditions were investigated. In 1 mol/L NaOH solution, the nickel modified electrode showed better results than nickel-iron modified electrode for the electrocatalytic oxidation of urea. The effects of different urea concentrations, different NaOH concentrations, and different scan rates on the electrocatalytic properties of the two modified electrodes were investigated.					Sun, Wenjie/D-5075-2013; Zheng, Yiting/LEN-1806-2024														1452-3981					OCT	2023	18	10							100318	10.1016/j.ijoes.2023.100318	http://dx.doi.org/10.1016/j.ijoes.2023.100318		AUG 2023											WOS:001059501900001
J	Yang, K; Hao, LJ; Hou, YW; Zhang, J; Yang, JH				Yang, Kai; Hao, Linjing; Hou, Yuwei; Zhang, Jie; Yang, Jing-He			Summary and application of Ni-based catalysts for electrocatalytic urea oxidation	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY												At present, energy shortage and environmental pollution are becoming more and more serious. If environmental governance and energy supply can be combined, it will be more consistent with the long-term concept of sustainable development. Urea electrooxidation may achieve the degradation of pollutants and the conversion of energy supply, urea oxidation occurs at the anode and hydrogen evolution occurs at the cathode. However, the electrochemical oxidation process of urea requires the transfer of six electrons, and the reaction rate is slow. The electrocatalyst is a key factor in improving the reaction kinetics. In this context, catalysts used in urea electrocatalytic oxidation in recent years are reviewed in this paper. The application of the electrocatalyst in electrolytic hydrogen production, urea wastewater treatment, urea fuel cells and urea sensors are described in detail. In addition, the future research directions, research emphases and areas needing improvement of these catalysts are discussed.						Yang, Jing-He/0000-0003-1964-3121													0360-3199	1879-3487				JAN 2	2024	51		C				966	981		10.1016/j.ijhydene.2023.10.279	http://dx.doi.org/10.1016/j.ijhydene.2023.10.279		DEC 2023											WOS:001137703800001
