PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Zhao, XR; Yin, FX; He, XB; Chen, BH; Li, GR				Zhao, Xinran; Yin, Fengxiang; He, Xiaobo; Chen, Biaohua; Li, Guoru			Efficient overall water splitting over a Mo(IV)-doped Co3O4/NC electrocatalyst	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY												To meet the demand of producing hydrogen at low cost, a molybdenum (Mo)-doped cobalt oxide (Co3O4) supported on nitrogen (N)-doped carbon (x%Mo-Co3O4/NC, where x% represents Mo/Co molar ratio) is developed as an efficient bifunctional electrocatalyst for hydrogen evolution reaction (HER) and oxygen evolution reaction (OER). This defect engineering strategy is realized by a facile urea oxidation method in nitrogen atmosphere. Through X-ray diffraction (XRD) refinement and other detailed characterizations, molybdenum ion (Mo4+) is found to be doped into Co3O4 by substituting cobalt ion (Co2+) at tetrahedron site, while N is doped into carbon matrix simultaneously. 4%Mo-Co3O4/NC is the optimized sample to show the lowest overpotentials of 91 and 276 mV to deliver 10 mA cm-2 for HER and OER in 1 M potassium hydroxide solution (KOH), respectively. The overall water splitting cell 4%Mo-Co3O4/NC parallel to 4%Mo-Co3O4/NC displays a voltage of 1.62 V to deliver 10 mA cm(-2) in 1 M KOH. The Mo4+ dopant modulates the electronic structure of active cobalt ion (Co3+) and boosts the water dissociation process during HER, while the increased amount of lattice oxygen and formation of pyridinic nitrogen due to Mo doping benefits the OER activity. Besides, the smaller grain size owing to Mo doping leads to higher electrochemically active surface area (ECSA) on 4%Mo-Co3O4/NC, resulting in its superior bifunctional catalytic activity. (C) 2021 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.					Yin, Fengxiang/HPE-9259-2023	Yin, Fengxiang/0000-0003-3514-6707; li, guoru/0000-0002-3029-5079													0360-3199	1879-3487				JUN 11	2021	46	40					20905	20918		10.1016/j.ijhydene.2021.03.187	http://dx.doi.org/10.1016/j.ijhydene.2021.03.187		MAY 2021											WOS:000659298700010
J	Cai, LY; Yu, JK; Hartanto, R; Zhang, JC; Yang, A; Qi, DS				Cai, Liyuan; Yu, Jiangkun; Hartanto, Rudy; Zhang, Jiacai; Yang, Ao; Qi, Desheng			Effects of heat challenge on growth performance, ruminal, blood and physiological parameters of Chinese crossbred goats	SMALL RUMINANT RESEARCH												The aim of this study was to evaluate the effects of heat challenge on growth performance as well as ruminal, blood and physiological parameters of Chinese crossbred goats. During the heat challenge period, the goats exhibited significantly higher skin temperatures, pulse rates and respiration rates than during the control period. The rumen pH and concentrations of ammonia-N (NH3-N), total volatile fatty acids (TVFAs), acetic acid and propionic acid were significantly lower during the heat challenge period than during the control period. In addition, the butyric acid concentration, acetate "to-propionate ratio (A/P ratio) and oxidation-reduction potential (ORP) in the rumen were significantly increased in heat-challenged goats compared to those in control period. During the heat challenge period, the goats showed significantly higher serum creatine kinase (CK) activity and blood urea nitrogen (BUN) and malonaldehyde (MDA) concentrations than during the control period, while the glutathione peroxidase (GSH-Px) activity and the serum total protein (TP) and vitamins C and E concentrations were significantly lower (P < 0.05) during the control period. During the heat challenge period, the goats exhibited significantly lower (P < 0.05) dry matter (DM) intake (DMI) and average daily gain (ADG) than during the control period and significantly higher (P < 0.05) digestibilities of DM, neutral detergent fiber (NDF) and acid detergent fiber (ADF) than during the control period. These results suggest that the effect of a heat challenge on goats is systemic. Therefore, in goat production practices, the adverse effects of heat stress should not be ignored.						Hartanto, Rudy/0000-0001-5046-0222; Qi, De-Sheng/0000-0001-7376-0199													0921-4488	1879-0941				MAY	2019	174						125	130		10.1016/j.smallrumres.2019.02.021	http://dx.doi.org/10.1016/j.smallrumres.2019.02.021													WOS:000467890900021
J	Ma, RY; He, YH; Fang, Q; Xie, GY; Qi, MY				Ma, Ruyu; He, Yinghao; Fang, Qing; Xie, Gaoyu; Qi, Minyou			Ferulic acid ameliorates renal injury via improving autophagy to inhibit inflammation in diabetic nephropathy mice	BIOMEDICINE & PHARMACOTHERAPY												Diabetic nephropathy (DN) is one of the most serious microvascular complications following diabetes mellitus (DM). Ferulic acid (FA), a phenolic acid widely found in plants, has multiple pharmacological effects such as anti-oxidation, anti-inflammation and anti-tumor. However, the current research on FA in the field of DN is insufficient. The present study aimed to explore the nephroprotective effect of FA on DN in mice and reveal its underlying mechanism. DN was induced by high-fat diet (HFD) combined with streptozotocin (STZ) injection in male C57BL/6J mice. Animals were randomly divided into four groups (n = 8): Control group, DN group, FA group (200 mg/kg FA, i.g.) and valsartan (VAL) group (12 mg/kg VAL, i.g.). The drug was administered once a day for 8 weeks. Treated with FA, the body weight and fasting blood glucose (FBG) of DN mice were reduced and the renal organ coefficient was significantly optimized. Meanwhile, FA decreased levels of 24-h urine protein excretion (24-h UP) in urine and blood urea nitrogen (BUN), creatinine (Cr) in serum, reduced levels of triglyceride (TG), total cholesterol (TC), low-density lipoprotein cholesterol (LDL-C) and high-density lipoprotein cholesterol (HDL-C) in serum. In addition, FA promoted light chain 3 (LC3) expression markedly, and inhibited the expressions of p62, NOD-like receptor family pyrin domain containing 3 (NLRP3) and interleukin-1 beta (IL-1 beta) in renal tissues. In conclusion, FA played a positive role in alleviating renal injury in HFD/STZ-induced DN mice by enhancing autophagy and suppressing excessive inflammation.																			0753-3322	1950-6007				SEP	2022	153								113424	10.1016/j.biopha.2022.113424	http://dx.doi.org/10.1016/j.biopha.2022.113424		JUL 2022						36076545					WOS:000855037700004
J	Chen, M; Liu, FM; Zhao, MY; Qian, X; Liu, L; Wan, R; Yuan, ZY; Li, CS; Niu, QY				Chen, Ming; Liu, Feng-Ming; Zhao, Ming-Yang; Qian, Xing; Liu, Lei; Wan, Rong; Yuan, Zhong-Yong; Li, Chun-Sheng; Niu, Qing-Yuan			Rational Synthesis of Spongy Fe3N@N-Doped Carbon Nanorods with Controlled Topography and Porosity for Enhanced Energy Storage Anodes in Lithium-Ion Batteries	LANGMUIR												Iron nitrides with the merits of high theoretical capacities, cost-effectiveness, and good electronic/ionic conductivity have been recognized as attractive anode candidates for lithium-ion batteries (LIBs). Carbon compositing, pore engineering, and nanostructure construction have proved to be effective strategies to prepare high-performance metal nitride anodes for LIBs. Herein, we synthesized a series of Fe3N-embedded and N-doped carbon nanorods (Fe3N@NCNR) with a hierarchical porous system and controllable topography by metal-catalyzed graphitization-nitridization of the Fe(III)-triazole framework (Fe-MOF) and thermal evaporation of the triblock copolymer F127 template assembled in Fe-MOF via hydrogen bonding interaction, followed by the air oxidation and urea-assisted ammonolysis processes. The Fe3N@NCNR as anodes for LIBs display extraordinary lithium storage capabilities with a high reversible capacity of 830 mA h g-1 at 0.1 C, a good rate performance of 576 mAh g-1 at 5 C, and a long-term cycling stability of 742 mA h g-1 over 600 cycles at 1 C. Such outstanding performance benefits from the spongy carbon nanorods with rich macropores for rapid electronic/ionic transport and effective accommodation of electrode volume expansion, abundant N-doped meso-/microporous carbon for the additional storage of Li+ via capacitive effect, and the efficient utilization of Fe3N nanoparticles uniformly distributed through carbon nanorods. Importantly, this work introduces an effective strategy to construct superior performance nitride anodes from MOF surfactants based on hydrogen bonding-driven interface self-assembly and provides insight into the preparation of highly efficient nanoarchitectures for Li+ storage.					Wei, Liu/JAO-1481-2023; Chen, Ming/AAV-3682-2020; Li, Chunsheng/AFQ-3758-2022; Zhao, MingYang/GLR-8497-2022; Yuan, Zhong-Yong/B-5157-2012	Liu, Lei/0000-0002-0575-865X; Yuan, Zhong-Yong/0000-0002-3790-8181; chen, ming/0000-0001-8566-4831; Qian, Xing/0000-0003-4935-5809													0743-7463	1520-5827				OCT 29	2024	40	45					24017	24028		10.1021/acs.langmuir.4c03305	http://dx.doi.org/10.1021/acs.langmuir.4c03305		OCT 2024						39468400					WOS:001344899700001
J	Bhat, M; Linares-Cervantes, I; Pasini, E; Patel, P; Goto, T; Noguchi, Y; Mazilescu, L; Urbanellis, P; Selzner, M; Selzner, N				Bhat, Mamatha; Linares-Cervantes, Ivan; Pasini, Elisa; Patel, Preya; Goto, Toru; Noguchi, Yuki; Mazilescu, Laura; Urbanellis, Peter; Selzner, Markus; Selzner, Nazia			Normothermic Ex Situ Liver Perfusion Enhances Mitochondrial Function of DCD Grafts as Evidenced by High-throughput Metabolomics	TRANSPLANTATION												Background. Normothermic ex situ liver perfusion (NEsLP) reduces reperfusion injury of donation after circulatory death (DCD) grafts and optimizes graft function. The goal of our study was to elucidate how NEsLP impacts global metabolism in DCD grafts using high-throughput metabolomics. Methods. Pig livers were preserved by 2 different techniques: static cold storage and NEsLP. Grafts obtained from heart-beating donors were compared with donation after circulatory death (DCD) grafts with either 30 minutes (DCD30) or 60 minutes (DCD60) ischemia time. Liver tissues were collected at the end of preservation period (T0) with either cold storage or NEsLP (n = 5 per group). Grafts were transplanted into recipient pigs and a second liver biopsy was collected 2 hours following liver transplantation (T1). Snap-frozen tissue was processed and analyzed by Sciex 6600 Q-TOF high-resolution mass spectrometer. Data analysis was performed using MetaboAnalyst 4.0 software. Results. Prolonged ischemia resulted in 38 out of 81 metabolites being differentially abundant over time. Mitochondrial metabolism was significantly affected, with disruption in oxidative phosphorylation capacity i.e the Warburg effect (P = 3.62E-03) and urea cycle (P = 7.95E-0.4). NEsLP resulted in improved mitochondrial metabolism and glycolysis (4.20E-02) oxidation of branched chain fatty acids (P = 4.07E-02). Conclusions. This unbiased, high-throughput metabolomics study reveals that mitochondrial function is globally rescued with NEsLP, associated with improvement in DCD graft function. NEsLP is able to rescue DCD grafts, improving their metabolic function to that of livers not exposed to DCD procurement.					Selzner, Markus/AAE-9071-2020; Goto, Toru/MSZ-6872-2025; Bhat, Mamatha/AAC-4333-2020; Linares-Cervantes, Ivan/AAA-1484-2021; Selzner, Nazia/AAI-1469-2020	Bhat, Mamatha/0000-0003-1960-8449; Mazilescu, Laura Ioana/0000-0003-4522-7295; Linares-Cervantes, Ivan/0000-0001-5124-9883													0041-1337	1534-6080				JUL	2021	105	7					1530	1538		10.1097/TP.0000000000003476	http://dx.doi.org/10.1097/TP.0000000000003476								33031224					WOS:000755133900020
J	Adebayo, OA; Akinloye, O; Adaramoye, OA				Adebayo, Olayinka A.; Akinloye, Oluyemi; Adaramoye, Oluwatosin A.			Cerium Oxide Nanoparticles Attenuate Oxidative Stress and Inflammation in the Liver of Diethylnitrosamine-Treated Mice	BIOLOGICAL TRACE ELEMENT RESEARCH												The catalytic activity of cerium oxide nanoparticles (CeO2NPs) is responsible for its application as an antitumor agent. This activity may be due to its ability to switch between III and IV oxidation states thereby conferring pro- and antioxidant properties. This study was designed to assess the hepatoprotective potential of CeO2NPs in male BALB/c mice administered diethylnitrosamine (DEN). Thirty-six mice were divided equally into six groups and treated intraperitoneally with normal saline (control), DEN (200 mg/kg) alone, CeO2NPs 1 (100 mu g/kg) + DEN (200 mg/kg), CeO2NPs 2 (200 mu g/kg) + DEN (200 mg/kg), CeO2NPs 1 alone, and CeO2NPs 2 alone. Animals were pretreated with CeO2NPs daily for eight consecutive days, while DEN was administered 48 h before the animals were sacrificed. Administration of DEN caused a significant increase in serum alanine aminotransferase (ALT) and urea by 51% and 96%, respectively. Markers of oxidative stress (malondialdehyde) and inflammation (nitric oxide and myeloperoxidase) in hepatic tissues of DEN-treated mice were increased by 60%, 16%, and 38%, respectively. The activities of hepatic superoxide dismutase, catalase, glutathione peroxidase, glutathione-S-transferase, and level of reduced glutathione were significantly decreased in DEN-treated mice by 50%, 123%, 23%, 419%, and 78%, respectively. In addition, DEN increased the expression of hepatic Bcl(2) and COX-2, while p53, Bax, and iNOS were mildly expressed. Pretreatment with CeO2NPs attenuated the activities of antioxidant enzymes and expression of Bcl(2) and COX-2. Overall, CeO2NPs confers protection from DEN-induced liver damage via antioxidative activity.					Akinloye, Oluyemi/IXD-6216-2023; AKINLOYE, OLUYEMI/C-2988-2019	AKINLOYE, OLUYEMI/0000-0002-7546-8244; Adaramoye, Oluwatpsin/0000-0001-9960-6763													0163-4984	1559-0720				JAN	2020	193	1					214	225		10.1007/s12011-019-01696-5	http://dx.doi.org/10.1007/s12011-019-01696-5								30993490					WOS:000511715800023
J	Abdel-Magied, N; Elkady, AA				Abdel-Magied, Nadia; Elkady, Ahmed A.			Possible curative role of curcumin and silymarin against nephrotoxicity induced by gamma-rays in rats	EXPERIMENTAL AND MOLECULAR PATHOLOGY												Curcumin (CUR) and silymarin (SLM) are powerful antioxidant and anti-inflammatory compounds with beneficial protective effects against renal diseases. The purpose of this study was to evaluate the efficacy of CUR and SLM alone or in combination on radiation (IR) induced kidney injury. The results showed that CUR and SLM alone or in combination attenuated the oxidative stress denoted by a reduction in the level of malondialdehyde (MDA), hydrogen peroxide (H2O2) and advanced oxidation protein products (AOPP) along with a marked increase of glutathione GSH content and total antioxidant capacity (TAC). Additionally, a significant decrease in the level of blood urea nitrogen (BUN), creatinine, Cystatin-C (CYT-C), neutrophil gelatinase-associated lipocalin (N-GAL) and Kidney Injury Molecule-1 (Kim-1) was recorded. Moreover, the treatment resulted in a remarkable decline in the serum levels of interleukin-18(IL-18), tumor necrosis factor-alpha (TNF-alpha), C reactive protein (CRP), BCL2 associated X protein (Bax), Factor-related Apoptosis (FAS) and the activity of Caspase-3 associated by an increase of B-cell CLL/lymphoma 2 (Bc12) level. The results were confirmed with the histopathological examination. Kidney of irradiated showed glomerular atrophy, massive necrotic changes of expanded tubules with hyaline cast inside some tubules and apoptotic changes were recorded in some renal tubules. While irradiated rats treated with CUR and SLM exhibited marked preservation of the cellular structure of their kidney tissue. In conclusion, the combination of CUR and SLM could be more potent than a single agent on the biochemical and histological changes of the irradiated rat renal tissue.																			0014-4800	1096-0945				DEC	2019	111								104299	10.1016/j.yexmp.2019.104299	http://dx.doi.org/10.1016/j.yexmp.2019.104299								31442446					WOS:000499762900003
J	Patel, VJ; Joharapurkar, AA; Kshirsagar, SG; Sutariya, BK; Patel, MS; Patel, HM; Pandey, DK; Bahekar, RH; Jain, MR				Patel, Vishal J.; Joharapurkar, Amit A.; Kshirsagar, Samadhan G.; Sutariya, Brijesh K.; Patel, Maulik S.; Patel, Hiren M.; Pandey, Dheerendra K.; Bahekar, Rajesh H.; Jain, Mukul R.			Coagonist of glucagon-like peptide-1 and glucagon receptors ameliorates kidney injury in murine models of obesity and diabetes mellitus	WORLD JOURNAL OF DIABETES												AIM To investigate the role of glucagon-like peptide-1 (GLP-1)/glucagon receptors coagonist on renal dysfunction associated with diabetes and obesity. METHODS Chronic high-fat diet fed C57BL/6J mice, streptozotocin-treated high-fat diet fed C57BL/6J mice and diabetic C57BLKS/J db/db mice were used as models of diabetes-induced renal dysfunction. The streptozotocintreated high-fat diet fed mice and db/db mice were treated with the GLP-1 and glucagon receptors coagonist (Aib2 C24 Chimera2, 150 mu g/kg, sc) for twelve weeks, while in chronic high-fat diet fed mice, coagonist (Aib2 C24 Chimera2, 150 mu g/kg, sc) treatment was continued for forty weeks. Kidney function, histology, fibrosis, inflammation, and plasma biochemistry were assessed at the end of the treatment. RESULTS Coagonist treatment decreased body weight, plasma lipids, insulin resistance, creatinine, blood urea nitrogen, urinary albumin excretion rate and renal lipids. In kidney, expression of lipogenic genes (SREBP-1C, FAS, and SCD-1) was decreased, and expression of genes involved in beta-oxidation (CPT-1 and PPAR-alpha) was increased due to coagonist treatment. In plasma, coagonist treatment increased adiponectin and FGF21 and decreased IL-6 and TNF-alpha. Coagonist treatment reduced expression of inflammatory (TNF-alpha, MCP-1, and MMP-9) and pro-fibrotic (TGF-beta, COL1A1, and alpha-SMA) genes and also improved histological derangement in renal tissue. CONCLUSION Coagonist of GLP-1 and glucagon receptors alleviated diabetes and obesity-induced renal dysfunction by reducing glucose intolerance, obesity, and hyperlipidemia.						Pandey, Dheerendra/0000-0001-9547-8645														1948-9358				JUN 15	2018	9	6					80	91		10.4239/wjd.v9.i6.80	http://dx.doi.org/10.4239/wjd.v9.i6.80								29988851					WOS:000437473000001
J	Ognik, K; Cholewinska, E; Czech, A; Kozlowski, K; Wlazlo, L; Nowakowicz-Debek, B; Szlazak, R; Tutaj, K				Ognik, K.; Cholewinska, E.; Czech, A.; Kozlowski, K.; Wlazlo, L.; Nowakowicz-Debek, B.; Szlazak, R.; Tutaj, K.			Effect of silver nanoparticles on the immune, redox, and lipid status of chicken blood	CZECH JOURNAL OF ANIMAL SCIENCE												The aim of the study was to analyze how per os application of hydrocolloids of silver nanoparticles (22 nm) and lipid-coated silver nanoparticles (5 nm) affect the immune, redox, and lipid status of the blood of broiler chickens. The experiment was conducted on 60 chickens. The first group was the control (Group C). The chickens in Group II received a silver nanoparticle hydrocolloid (Ag-nano) at a dose of 5 mg/kg body weight (BW) per day. The chickens in Group III received a lipid-coated silver nanoparticle hydrocolloid (AgL-nano) at a dose of 5 mg/kg BW per day. Blood for analysis was collected from 24- and 38-day-old chickens and several blood parameters were determined. The increase in phagocytosis and in the metabolic activity of leukocytes observed following per os administration of chemically synthesized silver nanoparticles differing in size and in the presence or absence of a lipid coating may indicate a developing inflammatory state in the organism. The decrease in haemoglobin content and antioxidant enzyme activity and the increase in the content of iron, bilirubin, and lipid peroxidation products are indicative of oxidative stress, although in the case of administration of AgL-nano the oxidation effect appears to be greater. Administration of silver nanoparticles to the chickens, particularly 5 nm lipid-coated nanoparticles, probably led to a disturbance in protein catabolism in the organism, which is evidenced by the decrease in the activity of the liver enzymes AST and ALT and the decreased concentration of the main protein metabolism products (creatinine and urea).					Czech, Anna/W-7950-2018; Nowakowicz-Debek, Bozena/U-4508-2018; Tutaj, Krzysztof/D-2218-2015; Ognik, Katarzyna/T-9316-2018	Czech, Anna/0000-0003-4142-2608; Wlazlo, Lukasz/0000-0002-1086-182X; Nowakowicz-Debek, Bozena/0000-0003-2510-1062; Szlazak, Radoslaw/0000-0003-0871-2427; Tutaj, Krzysztof/0000-0002-3742-3715; Cholewinska, Ewelina/0000-0003-0437-4766; Ognik, Katarzyna/0000-0003-4393-4092													1212-1819	1805-9309					2016	61	10					450	461		10.17221/80/2015-CJAS	http://dx.doi.org/10.17221/80/2015-CJAS													WOS:000386219200002
J	Xiao, ZW; Vijayalakshmi, A				Xiao, Zhenwen; Vijayalakshmi, Annamalai			Protective effect of piperlongumine on inflammation and oxidative stress against ischemia-reperfusion injury in animal kidney	BRATISLAVA MEDICAL JOURNAL-BRATISLAVSKE LEKARSKE LISTY												AIM: Piperlongumine (PL), an alkaloid from the Piper longum plant, is acknowledged for various biological properties. The study aimed to explore the protective effect of PL on ischemia reperfusion injury (I/R) in rat kidney. METHODS. 24 adult male Sprague-Dawley rats (200 to 250 mg) were randomly allocated to four groups (n = 6/group): Group I: sham control, Group II: (I/R) renal ischemia/reperfusion kidney renal blocked for 1hour using clamps, followed by 2hr reperfusion. Group III: PL (25 mu g/kg) + I/R group and Group IV: PL (50 mu g/kg) + I/R group. Rat kidneys were exposed to 60 min of two-sided deep ischemia followed by 120 min of reperfusion. PL (25 and 50 mu g/kg bw) was administered intraperitoneally half an hour before the ischemia. Creatinine, urea, and few renal markers activity in serum were assessed. Oxidative stress and inflammatory markers were also evaluated. In addition, the expressions of COX-2 and eNOS in animal kidneys were tested by western blotting. RESULTS. Pre-treatment with PL in ischemia-reperfused rats significantly reduced the pathological damage in the kidney and declined the levels of serum creatinine and other renal parameters. PL treatment diminished the serum levels of TNF-alpha, IL-6, and IL-1 beta, as well as messenger RNA expressions. Important biological defence parameters such as superoxide dismutase and glutathione levels were upregulated while malondialdehyde levels were down-regulated in PL ischemia rats. CONCLUSION. PL exhibits a protective effect against inflammation and oxidation in ischemia reperfusion animals (Fig. 5, Ref. 32).																			0006-9248	1336-0345					2022	123	12					878	884		10.4149/BLL_2022_140	http://dx.doi.org/10.4149/BLL_2022_140								36342874					WOS:001195297800004
