PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Zhao, CY; Liu, SL; Zhang, XL; Meng, E; Tang, Y; Fen, Z; Liu, Y; Macreadie, PI				Zhao, Chunyu; Liu, Songlin; Zhang, Xiaoli; Meng, E.; Tang, Yan; Fen, Zhang; Liu, Yang; Macreadie, Peter I.			Evidence of nitrogen inputs affecting soil nitrogen purification by mediating root exudates of salt marsh plants	SCIENCE OF THE TOTAL ENVIRONMENT												Salt marsh has an important 'purification' role in coastal ecosystems by removing excess nitrogen that could otherwise harm aquatic life and reduce water quality. Recent studies suggest that salt marsh root exudates might be the 'control centre' for nitrogen transformation, but empirical evidence is lacking. Here we sought to estimate the direction and magnitude of nitrogen purification by salt marsh root exudates and gain a mechanistic understanding of the biogeochemical transformation pathway(s). To achieve this, we used a laboratory incubation to quantify both the root exudates and soil nitrogen purification rates, in addition to the enzyme activities and functional genes under Phragmites australis populations with different nitrogen forms addition (NO3-, NH4+ and urea). We found that NO3- and urea addition significantly stimulate P. australis root exudation of total acids, amino acids, total sugars and total organic carbon, while NH4+ addition only significantly increased total acids, amino acids and total phenol exudation. High total sugars, amino acids and total organic carbon concentrations enlarged nitrogen purification potential by stimulating the nitrogen purifying bacterial activities (including enzyme activities and related genes expression). Potential denitrification rates were not significantly elevated under NH4+ addition in comparison to NO3- and urea addition, which should be ascribed to total phenol self-toxicity and selective inhibition. Further, urea addition stimulated urease and protease activities with providing more NH4+ and NO2- substrates for elevated anaerobic ammonium oxidation rates among the nitrogen addition treatments. Overall, this study revealed that exogenous nitrogen could increase the nitrogen purification-associated bacterial activity through accelerating the root exudate release, which could stimulate the activity of nitrogen transformation, and then improve the nitrogen removal capacity in salt marsh.					Liu, Songlin/CAG-5973-2022	Macreadie, Peter/0000-0001-7362-0882													0048-9697	1879-1026				OCT 10	2024	946								174396	10.1016/j.scitotenv.2024.174396	http://dx.doi.org/10.1016/j.scitotenv.2024.174396		JUL 2024						38950634					WOS:001264891800001
J	Yang, YY; Xiong, YL; Chen, YZ; He, YL; Hu, ZA				Yang, Yuying; Xiong, Yaling; Chen, Yanzhe; He, Yilun; Hu, Zhongai			Heterostructured FeP4/CoP@NF as trifunctional electrocatalysts for energy-efficient hydrogen production	JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY												The developing of efficient and cost-effective electrocatalysts for hydrogen evolution is of great significance to the development of hydrogen energy. It is believed that the efficient hydrogen generation of water cracking is restricted from the slow oxygen evolution reaction (OER) process. Consequently, it is highly recommended to find alternative anodizing to produce hydrogen to reduce electricity consumption. Urea oxidation reaction (UOR) is an alternative to the traditional anodic OER. In this paper, an electrocatalyst FeP4/CoP@NF-7.5 supported on nickel foam (NF) was designed by using a template-directed growth and low-temperature phosphating method. The FeP4/CoP@NF-7.5 with a rich interface gives it more active sites and enhances mass transfer and conductivity, possessing excellent catalytic performance against hydrogen evolution reaction (HER), OER and UOR in alkaline electrolyte. Thanks to the abundant interface and bimetallic synergy, the designed catalyst exhibits the overpotentials of 45 mV and 259 mV for HER and OER to transfer 10 mA cm -2. In addition, FeP4/CoP@NF-7.5 also possesses significant catalytic activity against UOR of 136 mV (j10) in 1 M KOH with 0.33 M urea, which provides another alternative to the low efficiency of OER through the reduction of hydrogen production costs. Finally, the overall water splitting test was undertaken in 1 M KOH containing/free of 0.33 M urea. Remarkably, only 1.43 V is required to drive on urea electrolyzer (j10 = 10 mA cm -2), while 1.52 V are gained on water electrolyzer. This paper lays the foundation for the developing of high -active transition bimetallic phosphide electrocatalysts for energy-saving hydrogen production.					YAN, Zheng-Guang/HGC-8374-2022														1226-086X	1876-794X				APR 25	2024	132						201	211		10.1016/j.jiec.2023.11.012	http://dx.doi.org/10.1016/j.jiec.2023.11.012		FEB 2024											WOS:001199133600001
J	Hu, F; Liu, Y; Shi, XW; Xiao, L				Hu, Feng; Liu, Ying; Shi, Xiaowen; Xiao, Ling			Removal of organic contaminants by starch-derived porous carbon via peroxymonosulfate activation: The role of N doping and Fe/Mn loading	COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS												In this work, Fe/Mn-loaded nitrogen-doped porous carbonaceous materials were synthesized by a one-step pyrolysis process for organic contaminants removal. The effects of the component ratios of starch, urea, sodium bicarbonate, iron and manganese salts and pyrolysis temperatures on the removal performance of bisphenol A (BPA) were discussed. FeMn@CN-800, which pyrolyzed at 800 C with a mass ratio of starch:urea:Fe:Mn = 100:100:0.34:0.66 showed 95.4% BPA removal and 73.5% mineralization within 60 min. Large specific surface (663 m(2) g(-1)), rich hierarchical pore structures and N-doping facilitated the adsorption of BPA and peroxymonosulfate (PMS). Fe and Mn are located in the carbon layer in the form of iron carbide and manganese oxide, and act as electron donors to activate the PMS. Chemical quenching tests and electron paramagnetic resonance (EPR) confirmed that hydroxyl radicals (center dot OH), sulfate radicals (SO4 center dot-), superoxide anion radical (O-2(center dot-)), and singlet oxygen (O-1(2)) are the ROS in this system. Electrochemical tests showed the formation of catalyst-PMS complexes and catalyst facilitated the direct electron transfer from BPA to PMS. The effect of reaction parameters, cyclic experiments, possible BPA degradation pathways were investigated. This work provides the first systematic evaluation of starch-derived materials as high-performance catalysts for PMS-based advanced oxidation processes.					Hu, Feng/KYY-9200-2024														0927-7757	1873-4359				SEP 20	2022	649								129520	10.1016/j.colsurfa.2022.129520	http://dx.doi.org/10.1016/j.colsurfa.2022.129520													WOS:000830245800004
J	Lux, KC; Hot, J; Collière, V; Kahn, ML; Bertron, A; Ringot, E; Fau, P; Fajerwerg, K				Lux, Kevin Castello; Hot, Julie; Colliere, Vincent; Kahn, Myrtil L.; Bertron, Alexandra; Ringot, Erick; Fau, Pierre; Fajerwerg, Katia			Efficient Au/ZnO composite materials for indoor photocatalytic degradation of NO2 pollutant under low UV-A irradiation	JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING												In order to find an alternative to the more heavily regulated titanium dioxide (TiO2 P25) and to reduce the concentration of nitrogen oxide (NOx) in indoor environments, gold nanoparticles-decorated ZnO composite materials (Au/ZnO, 1 wt% Au) were successfully prepared by photodeposition (PD) or urea depositionprecipitation (UDP) methods. The resulting Au/ZnO catalysts showed excellent photocatalytic performance (around 40 %) for the degradation of 400 ppb nitrogen dioxide (NO2) at a laboratory reactor scale under UV-A irradiation as low as 0.1 W/m2 at 50 % relative humidity. The high activity was attributed to the Au-ZnO heterojunction formation, which significantly promoted the transfer of photogenerated holes from ZnO to Au and the water oxidation process on Au nanoparticles, improving the NO2 photocatalytic oxidation reaction due to a higher generation of OH center dot radical. The NO2 degradation was also investigated under realistic indoor visible light irradiation with NO2 concentrations found indoors (40 and 100 ppb). This work showed the prospects of applications of Au/ZnO materials in the field of indoor photocatalytic purification and gave a new insight into the study of ZnO-based composites for the photocatalytic degradation of NOx.					Bertron, Alexandra/G-3418-2018														2213-2929	2213-3437				FEB	2025	13	1							115110	10.1016/j.jece.2024.115110	http://dx.doi.org/10.1016/j.jece.2024.115110		DEC 2024											WOS:001393397500001
J	Fan, XP; Yin, C; Yan, GC; Cui, PY; Shen, Q; Wang, Q; Chen, H; Zhang, N; Ye, MJ; Zhao, YH; Li, TQ; Liang, YC				Fan, Xiaoping; Yin, Chang; Yan, Guochao; Cui, Peiyuan; Shen, Qi; Wang, Qun; Chen, Hao; Zhang, Nan; Ye, Mujun; Zhao, Yuhua; Li, Tingqiang; Liang, Yongchao			The contrasting effects of N-(n-butyl) thiophosphoric triamide (NBPT) on N2O emissions in arable soils differing in pH are underlain by complex microbial mechanisms	SCIENCE OF THE TOTAL ENVIRONMENT												The urease inhibitor, N-(n-butyl) thiophosphoric triamide (NBPT), has been proposed to reduce synthetic fertilizer-N losses, including nitrous oxide (N2O) emissions from agricultural soils. However, the response of N2O emission to NBPT amendment is inconsistent across soils and associated microbial mechanisms remain largely unknown. Here we performed a meta-analysis of the effects of NBPT on N2O emissions and found NBPT significantly reduced N2O emissions in alkaline soils whereas no obvious effects exhibited in add soils. Based on the finding of meta-analysis that pH was a key modifier in regulating the effect of NBPT on N2O emissions, we selected two arable soils differing in pH and conducted a microcosm study. In conjunction with measurement of N2O emission, community structure and abundance of functional guilds were assessed using T-RFLP and qPCR. Our results showed NBPT retarded urea hydrolysis and inhibited nitrification. but stimulated N2O emission in alkaline soil, whereas it exhibited no remarkable effects in acid soil, thereby only partly confirming the results of meta-analysis. Abundances of AOB and ureC-containing bacteria decreased, while abundance of AOA increased in both soils with NBPT addition. For acid soil, N2O emissions were significantly correlated with both abundances and community structures of AOA and ureC-containing bacteria, as well as abundance of AOB; for alkaline soil, abundances and community structures of AOB were correlated with N2O emission, as well as community structures of ureC-containing bacteria and archaea, indicating an inconsistent response pattern of community traits of N2O emissions-related functional guilds to NBPT between alkaline soil and acid soil. Our findings suggest that (i) efficacy of NBPT in N2O emission was mainly influenced by soil pH and (ii) variable effects of NBPT on N2O emission might originate not only from the direct effect of NBPT on community traits of urease-positive microbes, but from the indirect effect on ammonia oxidizers. (C) 2018 Elsevier B.V. All rights reserved.					Fan, Xiaoping/ISS-3074-2023; Li, Tingqiang/B-2592-2017; Cui, Peiyuan/I-5045-2016; Liang, Yongchao/S-9281-2019; Shen, Qibin/HOH-2941-2023; Yan, Guochao/ABG-1725-2021; Liang, Yongchao/D-5809-2012	Yan, Guochao/0000-0001-8784-0229; Liang, Yongchao/0000-0002-0501-2823; Wang, Qun/0000-0002-7904-8327													0048-9697	1879-1026				NOV 15	2018	642						155	167		10.1016/j.scitotenv.2018.05.356	http://dx.doi.org/10.1016/j.scitotenv.2018.05.356								29894875					WOS:000439405600016
J	Smellie, IA; Aldred, JKD; Bower, B; Cochrane, A; Macfarlane, L; McCarron, HB; O'Hara, R; Patterson, ILJ; Thomson, MI; Walker, JM				Smellie, Iain A.; Aldred (Nee Prentis), Joanna K. D.; Bower, Benjamin; Cochrane, Amber; Macfarlane, Laurie; McCarron, Hollie B.; O'Hara, Roxana; Patterson, Iain L. J.; Thomson, Marie I.; Walker, Jessica M.			Alternative Hydrogen Peroxide Sources for Peroxyoxalate "Glowstick" Chemiluminescence Demonstrations	JOURNAL OF CHEMICAL EDUCATION												Simple protocols have been devised for peroxyoxalate chemiluminescence demonstrations that use urea hydrogen peroxide or sodium percarbonate as oxidants in place of aqueous solutions of hydrogen peroxide. The procedures described are compatible with well-known peroxyoxalates and fluorescers and have been found to be convenient for use for outreach activities in venues with limited laboratory facilities.						Smellie, Iain A./0000-0002-5829-6487; Walker, Jessica/0000-0001-7218-9138													0021-9584	1938-1328				JAN	2017	94	1					112	114		10.1021/acs.jchemed.6b00536	http://dx.doi.org/10.1021/acs.jchemed.6b00536													WOS:000392464000019
J	Chandhana, JP; Punnakkal, N; Vasu, SP; Pradeep, A; Nair, BG; Babu, TGS				Chandhana, J. P.; Punnakkal, Navaneeth; Vasu, Suneesh Punathil; Pradeep, Aarathi; Nair, Bipin G.; Babu, T. G. Satheesh			Zirconium copper oxide microflowers based non-enzymatic screen-printed electrochemical sensor for the detection of glucose in saliva, urine, and blood serum	MICROCHIMICA ACTA												Zirconium copper oxide microflowers (Zr/CuO MF) based non-enzymatic sensor was developed for glucose detection in saliva, urine, and blood. An easy urea hydrolysis method was employed for the synthesis of the metal oxide and further calcined to improve the catalytic property. The flower-like morphology of the Zr/CuO was confirmed by SEM analysis and the presence of copper and zirconium was examined using energy dispersive X-ray analysis (EDAX). The Zr/CuO MF modified screen-printed electrodes exhibited excellent glucose sensing performance in 0.15 M NaOH medium and could quantify glucose in the range from 10 & mu;M to 27 mM. A high sensitivity of 1.815 & PLUSMN; 0.003 mA mM-1 cm-2 was obtained for lower glucose concentration from 15 & mu;M to 3 mM and 1.250 & PLUSMN; 0.006 mA mM-1 cm-2 for higher concentration glucose from 3 to 27 mM. The limit of detection of the fabricated sensor was found to be 0.8 & mu;M. The sensor displayed high selectivity and stability towards glucose in different body fluids like saliva, urine, and blood serum at a working potential of 0.6 V (vs. Ag/AgCl). In saliva, urine, and serum samples, the sensor exhibited excellent recovery of 95-108, 92-108, and 93-101% in saliva, urine, and serum, respectively, with a relative standard deviation of less than 10%, demonstrating high accuracy and reliability of the sensor. The developed sensor is promising for developing an invasive and non-invasive point-of-care testing device for glucose detection.					Suneesh, PV/KFR-3129-2024; J P, CHANDHANA/ADV-9346-2022	Pradeep, Aarathi/0000-0002-3238-7532; J P, CHANDHANA/0000-0002-1372-9955													0026-3672	1436-5073				OCT	2023	190	10							390	10.1007/s00604-023-05965-y	http://dx.doi.org/10.1007/s00604-023-05965-y								37700117					WOS:001067051200005
J	Gao, YW; Zhu, Y; Lyu, L; Zeng, QY; Xing, XC; Hu, C				Gao, Yaowen; Zhu, Yue; Lyu, Lai; Zeng, Qingyi; Xing, Xueci; Hu, Chun			Electronic Structure Modulation of Graphitic Carbon Nitride by Oxygen Doping for Enhanced Catalytic Degradation of Organic Pollutants through Peroxymonosulfate Activation	ENVIRONMENTAL SCIENCE & TECHNOLOGY												Oxygen-doped graphitic carbon nitride (O-CN) was fabricated via a facile thermal polymerization method using urea and oxalic acid dihydrate as the graphitic carbon nitride precursor and oxygen source, respectively. Experimental and theoretical results revealed that oxygen doping preferentially occurred on the two-coordinated nitrogen positions, which create the formation of low and high electron density areas resulting in the electronic structure modulation of O-CN. As a result, the resultant O-CN exhibits enhanced catalytic activity and excellent long-term stability for peroxymonosulfate (PMS) activation toward the degradation of organic pollutants. The O-CN with modulated electronic structure enables PMS oxidation over the electron-deficient C atoms for the generation of singlet oxygen (O-1(2)) and PMS reduction around the electron-rich O dopants for the formation of hydroxyl radical ((OH)-O-center dot) and sulfate radical (SO4 center dot-), in which O-1(2) is the major reactive oxygen species, contributing to the selective reactivity of the O-CN/PMS system. Our findings not only propose a novel PMS activation mechanism in terms of simultaneous PMS oxidation and reduction for the production of nonradical and radical species but also provide a valuable insight for the development of efficient metal-free catalysts through nonmetal doping toward the persulfate-based environmental cleanup.					Xing, Xueci/S-3103-2018; Zeng, Qingyi/U-7280-2017; Lyu, Lai/I-4966-2017	Zeng, Qingyi/0000-0002-1291-9861; Lyu, Lai/0000-0002-5624-961X; Hu, Chun/0000-0002-8898-4280													0013-936X	1520-5851				DEC 18	2018	52	24					14371	14380		10.1021/acs.est.8b05246	http://dx.doi.org/10.1021/acs.est.8b05246								30424598					WOS:000454183400037
J	Kim, S; Han, DS; Park, H				Kim, Seonghun; Han, Dong Suk; Park, Hyunwoong			Reduced titania nanorods and Ni-Mo-S catalysts for photoelectrocatalytic water treatment and hydrogen production coupled with desalination	APPLIED CATALYSIS B-ENVIRONMENTAL												This study presents a ternary hybrid solar desalination process coupled with photoelectrocatalytic water treatment and H-2 production in a single device. The desalination of brackish water in the desalination cell is initiated via photoinduced charge generation with a thermochemically reduced TiO2 nanorod array photoanode. The chlorides transferred to the neighboring anolyte at ion-transport efficiency of similar to 100% are photoelectrochemically transformed into reactive chlorine species responsible for the decomposition of urea into nitrate in the anolyte. Simultaneously, the H-2 production with a Ni-Mo-S (Ni2S3/MoS2) composite catalyst grown onto porous Ni substrate is achieved at Faradaic efficiency of similar to 90% in the catholyte concentrated with desalted Na+. Regardless of the operation condition, the H-2 energy contributes to the reduction in the energy consumption for desalination by 25%-30%. The overall ternary hybrid process is understood systematically, and the physiochemical properties and electrochemical behavior of the Ni-Mo-S catalysts are examined.					Han, Dong SuK/AAX-9333-2021; Kim, Seonghun/Y-8178-2018; Park, Hyunwoong/A-1247-2012	Kim, Seonghun/0000-0001-5474-4249; Park, Hyunwoong/0000-0002-4938-6907													0926-3373	1873-3883				MAY 5	2021	284								119745	10.1016/j.apcatb.2020.119745	http://dx.doi.org/10.1016/j.apcatb.2020.119745													WOS:000623581500002
J	Wang, H; Liu, SB; Liu, YG; Tang, YT; Dai, MY; Chen, Q; Deng, YQ				Wang, Huan; Liu, Shaobo; Liu, Yunguo; Tang, Yetao; Dai, Mingyang; Chen, Qiang; Deng, Yuqi			Fe3N nanoparticles embedded in N-doped porous magnetic graphene for peroxymonosulfate activation: Radical and nonradical mechanism	CHEMOSPHERE												The persistence of pharmaceutical and personal care products (PPCPs) such as norfloxacin (NFX) poses a serious threat to the water environment, and the development of efficient and cost-effective advanced oxidation catalysts is an important step toward resolving this issue. Herein, Fe and N co-doped graphene (FeNGO) was synthesized from graphene oxide (GO), urea, and iron salt via simple impregnation pyrolysis, and applied for activating peroxymonosulfate (PMS) to degrade NFX. FeNGO possessed a two-dimensional porous sheet structure and was rich in defects, nitrogen species, and active sites. Compared with the control catalyst doped with N or Fe alone, FeNGO/PMS system showed the best degradation performance with 97.7% removal of NFX after 30 min, the rate constant was 7.1 and 1.7 times than that for NGO and FeGO, respectively. Fe3N was the main active site of FeNGO, and it is confirmed that singlet oxygen (1O2) and superoxide radical (O2 center dot-) were the primary oxidation active species (ROS) during NFX degradation. The formation of 1O2 came from the transformation of O2 center dot- and PMS decomposition. FeNGO showed strong pH adaptability, and also exhibited stale degradation performance in saliferous water matrices. It is believed that this work will offer theoretical and practical guidance for PMS activation by non-radical pathways.					Tang, Yetao/B-6208-2019; dai, mingyang/HHN-3400-2022														0045-6535	1879-1298				OCT	2022	305								135317	10.1016/j.chemosphere.2022.135317	http://dx.doi.org/10.1016/j.chemosphere.2022.135317		JUN 2022						35709841					WOS:000822556200006
