record_id,candidate,dimension,independent_source_id,source_packet_id,DOI,UT,publication_year,scenario_id,source_profile,traceability_profile,entailment_profile,gate_profile,combination_rule,source_m_R,source_m_NR,source_m_U,collapsed_claim_rows,max_alpha,minimum_r_semantic,semantic_review_statuses
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,cost_environment,doi:10.1039/d4ra00762j,source_packet_0f5b53209b998cf7,10.1039/d4ra00762j,WOS:001203633100001,2024,nominal,nominal,nominal,nominal,nominal,yager,0.1185066795655419,0.0,0.8814933204344582,1,0.1185066795655419,0.9674014658411585,machine_unreviewed
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,wet_chemical_synthesis,doi:10.1039/d4ra00762j,source_packet_0f5b53209b998cf7,10.1039/d4ra00762j,WOS:001203633100001,2024,nominal,nominal,nominal,nominal,nominal,yager,0.1185066795655419,0.0,0.8814933204344582,1,0.1185066795655419,0.9674014658411585,machine_unreviewed
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,nominal,nominal,nominal,nominal,nominal,yager,0.09480534365243352,0.0,0.9051946563475665,3,0.09480534365243352,0.9674014658411585,machine_unreviewed
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,nominal,nominal,nominal,nominal,nominal,yager,0.09480534365243352,0.0,0.9051946563475665,3,0.09480534365243352,0.9674014658411585,machine_unreviewed
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,cost_environment,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,nominal,nominal,nominal,nominal,nominal,yager,0.09480534365243352,0.0,0.9051946563475665,1,0.09480534365243352,0.9674014658411585,machine_unreviewed
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,wet_chemical_synthesis,doi:10.1039/d2ta08573a,source_packet_2ec0edd64572025f,10.1039/d2ta08573a,WOS:000907629000001,2023,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,1,0.0,0.9674014658411585,machine_unreviewed
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,doi:10.1039/d3ta01967e,source_packet_403b83b1820dfc33,10.1039/d3ta01967e,WOS:001063921500001,2023,nominal,nominal,nominal,nominal,nominal,yager,0.6,0.0,0.4,3,0.6,1.0,human_accepted
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,uor_activity,doi:10.1039/d3ta01967e,source_packet_403b83b1820dfc33,10.1039/d3ta01967e,WOS:001063921500001,2023,nominal,nominal,nominal,nominal,nominal,yager,0.6,0.0,0.4,6,0.6,1.0,human_accepted
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,doi:10.1039/d3ta01967e,source_packet_403b83b1820dfc33,10.1039/d3ta01967e,WOS:001063921500001,2023,nominal,nominal,nominal,nominal,nominal,yager,0.16799999999999998,0.0,0.8320000000000001,3,0.16799999999999998,1.0,human_accepted
run_f320e51e82599883,Fe-Co-Ni-Cu-Zn,substitution_and_synergy,doi:10.1039/d3ta01967e,source_packet_403b83b1820dfc33,10.1039/d3ta01967e,WOS:001063921500001,2023,nominal,nominal,nominal,nominal,nominal,yager,0.36,0.0,0.64,3,0.36,1.0,human_accepted
