record_id,model,candidate,dimension,yager_R,yager_NR,yager_U,yager_K,yager_dimension_label,dempster_R,dempster_NR,dempster_U,dempster_K,dempster_dimension_label,dimension_label_changed,yager_run_label,dempster_run_label,run_label_changed
run_f320e51e82599883,deepseek,Fe-Co-Ni-Cu-Zn,uor_activity,0.7921200794134464,0.0,0.20787992058655366,0.0,supported,0.7921200794134464,0.0,0.20787992058655366,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_f320e51e82599883,deepseek,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,0.7112758146895817,0.0,0.2887241853104183,0.0,supported,0.7112758146895817,0.0,0.2887241853104183,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_f320e51e82599883,deepseek,Fe-Co-Ni-Cu-Zn,wet_chemical_synthesis,0.36035117004111294,0.0,0.639648829958887,0.0,insufficient,0.36035117004111294,0.0,0.639648829958887,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_f320e51e82599883,deepseek,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,0.2468780459188247,0.0,0.7531219540811753,0.0,insufficient,0.2468780459188247,0.0,0.7531219540811753,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_e78a48b951b2ee6e,deepseek,Fe-Co-Ni-Cu-Zn,uor_activity,0.7891068218010456,0.0,0.21089317819895437,0.0,supported,0.7891068218010456,0.0,0.21089317819895437,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_e78a48b951b2ee6e,deepseek,Fe-Co-Ni-Cu-Zn,pba_structural_compatibility,0.660201552,0.0,0.33979844800000003,0.0,supported,0.660201552,0.0,0.33979844800000003,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_e78a48b951b2ee6e,deepseek,Fe-Co-Ni-Cu-Zn,wet_chemical_synthesis,0.7554049599724649,0.0,0.24459504002753507,0.0,supported,0.7554049599724649,0.0,0.24459504002753507,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_e78a48b951b2ee6e,deepseek,Fe-Co-Ni-Cu-Zn,alkaline_stability_corrosion,0.36,0.0,0.64,0.0,insufficient,0.36,0.0,0.64,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_e031b877f070eb35,deepseek,Fe-Co-Ni-Mn-Cu,uor_activity,0.9161251332411466,0.0,0.08387486675885333,0.0,supported,0.9161251332411466,0.0,0.08387486675885333,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_e031b877f070eb35,deepseek,Fe-Co-Ni-Mn-Cu,pba_structural_compatibility,0.2947682880838254,0.0,0.7052317119161747,0.0,insufficient,0.2947682880838254,0.0,0.7052317119161747,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_e031b877f070eb35,deepseek,Fe-Co-Ni-Mn-Cu,wet_chemical_synthesis,0.4460205765789777,0.0,0.5539794234210222,0.0,insufficient,0.4460205765789777,0.0,0.5539794234210222,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_e031b877f070eb35,deepseek,Fe-Co-Ni-Mn-Cu,alkaline_stability_corrosion,0.3032195072894137,0.0,0.6967804927105864,0.0,insufficient,0.3032195072894137,0.0,0.6967804927105864,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_ed4997cc40ec46a3,deepseek,Fe-Co-Ni-Mn-Cu,uor_activity,0.45751406775678877,0.0,0.5424859322432113,0.0,insufficient,0.45751406775678877,0.0,0.5424859322432113,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_ed4997cc40ec46a3,deepseek,Fe-Co-Ni-Mn-Cu,pba_structural_compatibility,0.5036812837195769,0.0,0.4963187162804231,0.0,insufficient,0.5036812837195769,0.0,0.4963187162804231,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_ed4997cc40ec46a3,deepseek,Fe-Co-Ni-Mn-Cu,wet_chemical_synthesis,0.29012617345818353,0.0,0.7098738265418165,0.0,insufficient,0.29012617345818353,0.0,0.7098738265418165,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_ed4997cc40ec46a3,deepseek,Fe-Co-Ni-Mn-Cu,alkaline_stability_corrosion,0.3083551344863077,0.0,0.6916448655136924,0.0,insufficient,0.3083551344863077,0.0,0.6916448655136924,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_4c59c2c3497dce9e,deepseek,Fe-Co-Ni-Mn-Cu,uor_activity,0.9239665541167732,0.0,0.07603344588322669,0.0,supported,0.9239665541167732,0.0,0.07603344588322669,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_4c59c2c3497dce9e,deepseek,Fe-Co-Ni-Mn-Cu,pba_structural_compatibility,0.6432008575257794,0.0,0.35679914247422057,0.0,supported,0.6432008575257794,0.0,0.35679914247422057,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_4c59c2c3497dce9e,deepseek,Fe-Co-Ni-Mn-Cu,wet_chemical_synthesis,0.29019375000000003,0.0,0.7098062500000001,0.0,insufficient,0.29019375000000003,0.0,0.7098062500000001,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_4c59c2c3497dce9e,deepseek,Fe-Co-Ni-Mn-Cu,alkaline_stability_corrosion,0.252,0.0,0.748,0.0,insufficient,0.252,0.0,0.748,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_777dbcb559ff5378,deepseek,Fe-Co-Ni-Mn-Zn,uor_activity,0.5332021867071645,0.0,0.4667978132928356,0.0,insufficient,0.5332021867071645,0.0,0.4667978132928356,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_777dbcb559ff5378,deepseek,Fe-Co-Ni-Mn-Zn,pba_structural_compatibility,0.281516145796421,0.0,0.7184838542035791,0.0,insufficient,0.281516145796421,0.0,0.7184838542035791,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_777dbcb559ff5378,deepseek,Fe-Co-Ni-Mn-Zn,wet_chemical_synthesis,0.281516145796421,0.0,0.7184838542035791,0.0,insufficient,0.281516145796421,0.0,0.7184838542035791,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_777dbcb559ff5378,deepseek,Fe-Co-Ni-Mn-Zn,alkaline_stability_corrosion,0.20861947992649615,0.0,0.7913805200735038,0.0,insufficient,0.20861947992649615,0.0,0.7913805200735038,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_5ca33401d63c3d35,deepseek,Fe-Co-Ni-Mn-Zn,uor_activity,0.6473295,0.0,0.3526705,0.0,supported,0.6473295,0.0,0.3526705,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_5ca33401d63c3d35,deepseek,Fe-Co-Ni-Mn-Zn,pba_structural_compatibility,0.6602015520000001,0.0,0.339798448,0.0,supported,0.6602015520000001,0.0,0.339798448,0.0,supported,no,flagged_insufficient,flagged_insufficient,no
run_5ca33401d63c3d35,deepseek,Fe-Co-Ni-Mn-Zn,wet_chemical_synthesis,0.29019375000000003,0.0,0.7098062500000001,0.0,insufficient,0.29019375000000003,0.0,0.7098062500000001,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_5ca33401d63c3d35,deepseek,Fe-Co-Ni-Mn-Zn,alkaline_stability_corrosion,0.52128,0.0,0.47872000000000003,0.0,insufficient,0.52128,0.0,0.47872000000000003,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
run_0b5d48cea00b1796,deepseek,Fe-Co-Ni-Mn-Zn,uor_activity,0.5793032476700951,0.0,0.420696752329905,0.0,insufficient,0.5793032476700951,0.0,0.420696752329905,0.0,insufficient,no,flagged_insufficient,flagged_insufficient,no
