PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Huang, YL; Ren, SQ				Huang, Yulong; Ren, Shenqiang			Multifunctional Prussian blue analogue magnets: Emerging opportunities	APPLIED MATERIALS TODAY												There is a surge of interest to expand the search for entirely new classes of molecular magnets as the emergence of information storage and quantum computing devices. Prussian blue analogues as a family of molecular magnets are especially attracting wide attention due to their large number of derivatives with a range of magnetic ordering temperature from cryogenic to room temperature. This review presents Prussian blue analogues as multifunctional molecular magnets, which involves the development of molecular magnet syntheses and crystal structures, and magnetic properties under external stimuli. In addition, the porous network structures and vacancy order of Prussian blue analogues present a wide capability to interact with water molecules and gas adsorption. External stimuli, such as thermal, pressure, electric and magnetic field and photoexcitation, play an important role in controlling the hidden states and cooperative phenomena of high temperature molecular magnets based on Prussian blue analogues. (c) 2020 Elsevier Ltd. All rights reserved.					Huang, Yulong/ADI-6508-2022; Huang, Yulong/D-3047-2016	Huang, Yulong/0000-0002-9616-0134													2352-9407					MAR	2021	22								100886	10.1016/j.apmt.2020.100886	http://dx.doi.org/10.1016/j.apmt.2020.100886													WOS:000632615800008
J	Shan, Y; Zhang, GX; Yin, W; Pang, H; Xu, Q				Shan, Yang; Zhang, Guangxun; Yin, Wei; Pang, Huan; Xu, Qiang			Recent Progress in Prussian Blue/Prussian Blue Analogue-Derived Metallic Compounds	BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN												Prussian blue (PB) and its analogues (PBAs) are promising coordination polymers (CPs) with an adjustable composition and open framework. Nonetheless, their intrinsic electrochemical activity and electrical conductivity are poor, which hinder their applications in energy conversion and storage. In catalytic applications, metal compounds derived from PB/PBAs have a lot of advantages, such as outstanding stability, selectivity, and electrical conductivity. Furthermore, they can be used as electrode materials for electrochemical energy storage and conversion, while having preferable electronic conductivity, sufficient catalytic active sites, as well as a larger specific surface area and tunable size to achieve an optimized performance. This review summarizes the current achievements of PB/PBA-derived metallic nanomaterials, as well as the existing limitations, urgent challenges and future development.					Zhang, Guangxun/LSL-0106-2024; Xu, Qiang/H-4997-2011; zhang, zhiyang/HJA-5751-2022														0009-2673	1348-0634				FEB	2022	95	2					230	260		10.1246/bcsj.20210324	http://dx.doi.org/10.1246/bcsj.20210324													WOS:000763582300004
J	Jiang, W; Wang, T; Chen, H; Suo, X; Liang, JY; Zhu, WS; Li, HM; Dai, S				Jiang, Wei; Wang, Tao; Chen, Hao; Suo, Xian; Liang, Jiyuan; Zhu, Wenshuai; Li, Huaming; Dai, Sheng			Room temperature synthesis of high-entropy Prussian blue analogues	NANO ENERGY												High-entropy Prussian blue analogues (HEPBAs) integrating the highly dispersed active sites of high-entropy materials with intrinsic 3D diffusion channels and the redox-active sites of Prussian blue analogues have great potential in electrochemical applications but have not been realized. In this work, a series of HEPBAs were successfully synthesized under room temperature combining mechanochemistry with wet chemistry for the first time.					huaming, li/S-1885-2016; Jiang, Wei/AAH-8588-2020; Chen, Hao/JHT-2948-2023; liang, jiyuan/KIE-9920-2024; Dai, Sheng/K-8411-2015; Wang, Tao/K-1644-2013	Dai, Sheng/0000-0002-8046-3931; Wang, Tao/0000-0001-5004-160X													2211-2855	2211-3282				JAN	2021	79								105464	10.1016/j.nanoen.2020.105464	http://dx.doi.org/10.1016/j.nanoen.2020.105464													WOS:000620325800004
J	Yue, YF; Zhang, ZY; Binder, AJ; Chen, JH; Jin, XB; Overbury, SH; Dai, S				Yue, Yanfeng; Zhang, Zhiyong; Binder, Andrew J.; Chen, Jihua; Jin, Xianbo; Overbury, Steven H.; Dai, Sheng			Hierarchically Superstructured Prussian Blue Analogues: Spontaneous Assembly Synthesis and Applications as Pseudocapacitive Materials	CHEMSUSCHEM												Hierarchically superstructured Prussian blue analogues (hexacyanoferrate, M= Ni-II, Co-II and Cu-II) are synthesized through a spontaneous assembly technique. In sharp contrast to macroporous-only Prussian blue analogues, the hierarchically superstructured porous Prussian blue materials are demonstrated to possess a high capacitance, which is similar to those of the conventional hybrid graphene/MnO2 nanostructured textiles. Because sodium or potassium ions are involved in energy storage processes, more environmentally neutral electrolytes can be utilized, making the superstructured porous Prussian blue analogues a great contender for applications as high-performance pseudocapacitors.					Dai, Sheng/K-8411-2015; Zhang, Zhiyong/H-5611-2012; Overbury, Steven/C-5108-2016; Jin, Xianbo/A-9109-2012; Chen, Jihua/F-1417-2011	Overbury, Steven/0000-0002-5137-3961; Jin, Xianbo/0000-0002-3095-8979; Chen, Jihua/0000-0001-6879-5936													1864-5631	1864-564X				JAN	2015	8	1					177	183		10.1002/cssc.201402520	http://dx.doi.org/10.1002/cssc.201402520								25385481					WOS:000347541700022
J	Li Wu, L; Chen, XH; Zhang, Q; Luo, J; Fu, HC; Shen, L; Luo, HQ; Li, NB				Li Wu, Li; Chen, Xiao Hui; Zhang, Qing; Luo, Juan; Fu, Hong Chuan; Shen, Li; Luo, Hong Qun; Li, Nian Bing			Formation of hierarchical NiFe Prussian blue analogues/Prussian blue on nickel foam for superior water oxidation	APPLIED SURFACE SCIENCE												A series of NiFe Prussian blue analogues (PBAs)/Prussian blue (PB) nanocubes (NizFe-PB-x-y) on nickel foam were synthesized using a one-pot redox reaction and deposition strategy. The growth and particle size of NizFe-PB-x-y can be adjusted by changing the ammonium persulfate concentration (x) and hydrothermal temperature (y). To explore the role of individual reactants, three other catalysts were synthesized by changing the reaction conditions, including sea urchin-like FeOOH, Fe-4[Fe(CN)(6)](3) cube, and NiFe PBA/FeOOH grain. During the reaction, ammonium persulfate may acted as a promoter and oxidant, sodium citrate as a reducing agent and morphological regulator, potassium ferricyanide as a single iron source, and nickel foam as a nickel source and substrate. More importantly, compared with other catalysts, the electrochemically activated Ni0.59Fe-PB-3-110 catalyst manifests the most outstanding catalytic activity in 1.0 M KOH electrolyte solution, with current densities of 50 and 800 mA cm(-2), requiring only 230 and 305 mV overpotential, respectively. It is anticipated that the novel strategy will not only contribute to the design and development of hierarchical three-dimensional PB or PBAs supported by conductive substrates, but also further promote their applications in the field of electrocatalysis and energy storage.					liu, zhifang/KIJ-0501-2024														0169-4332	1873-5584				NOV 30	2021	567								150835	10.1016/j.apsusc.2021.150835	http://dx.doi.org/10.1016/j.apsusc.2021.150835		AUG 2021											WOS:000691195700007
J	Kjeldgaard, S; Dugulan, I; Mamakhel, A; Wagemaker, M; Iversen, BB; Bentien, A				Kjeldgaard, Solveig; Dugulan, Iulian; Mamakhel, Aref; Wagemaker, Marnix; Iversen, Bo Brummerstedt; Bentien, Anders			Strategies for synthesis of Prussian blue analogues	ROYAL SOCIETY OPEN SCIENCE												We report a comparison of different common synthetic strategies for preparation of Prussian blue analogues (PBA). PBA are promising as cathode material for a number of different battery types, including K-ion and Na-ion batteries with both aqueous and non-aqueous electrolytes. PBA exhibit a significant degree of structural variation. The structure of the PBA determines the electrochemical performance, and it is, therefore, important to understand how synthesis parameters affect the structure of the obtained product. PBA are often synthesized by co-precipitation of a metal salt and a hexacyanoferrate complex, and parameters such as concentration and oxidation state of the precursors, flow rate, temperature and additional salts can all potentially affect the structure of the product. Here, we report 12 different syntheses and compare the structure of the obtained PBA materials.					Iversen, Bo/J-5831-2017; Bentien, Anders/O-4691-2014	Iversen, Bo/0000-0002-4632-1024; Dugulan, Achim Iulian/0000-0001-5559-9573; Mamakhel, Aref/0000-0001-6734-2556; Bentien, Anders/0000-0002-7204-9167													2054-5703					JAN 13	2021	8	1							201779	10.1098/rsos.201779	http://dx.doi.org/10.1098/rsos.201779								33614096					WOS:000610354600001
J	Liu, RA; Wang, Y; Wu, YD; Ye, X; Cai, WF				Liu, Ruonan; Wang, Yan; Wu, Yingdong; Ye, Xiao; Cai, Wangfeng			Controllable synthesis of nickel-cobalt-doped Prussian blue analogs for capacitive desalination	ELECTROCHIMICA ACTA												The unique framework structure of Prussian blue imparts excellent sodium storage capacity and cycling stability, thus making it an ideal capacitive deionization (CDI) electrode. Herein, Prussian blue analogs were prepared by the controlled doping of nickel-cobalt bimetallic ions to improve their desalination capacity and stability. Process parameters such as cell potential, current, inlet flow rate, and solution concentration were investigated to determine the optimal conditions for Prussian blue desalination, and a high-performance Prussian blue analog (CNF-4) was successfully synthesized by accurately controlling the nickel-cobalt doping ratio. The desalination capacity and rate of CNF-4 (Ni:Co=1:2) reached 65.31 mg g-1 and 4.38 mg g-1 min- 1, respectively, and 98% of the capacity retention rate was maintained after 50 cycles of desalination. The excellent capacity and performance of the CNF-4 material indicate its superiority to conventional PBA CDI electrodes and its prospective applications in seawater desalination.																			0013-4686	1873-3859				FEB 20	2023	442								141815	10.1016/j.electacta.2023.141815	http://dx.doi.org/10.1016/j.electacta.2023.141815		JAN 2023											WOS:000921936000001
J	Qiu, S; Xu, YK; Wu, XY; Ji, XL				Qiu, Shen; Xu, Yunkai; Wu, Xianyong; Ji, Xiulei			Prussian Blue Analogues as Electrodes for Aqueous Monovalent Ion Batteries	ELECTROCHEMICAL ENERGY REVIEWS												Aqueous batteries have engendered increasing attention as promising solutions for stationary energy storage due to their potentially low cost and innate safety. In various aqueous battery systems, Prussian blue analogues (PBAs) represent a class of promising electrode materials with fascinating electrochemical performance, owing to their large open frameworks, abundant ion insertion sites, and facile preparation. To date, PBAs have shown substantial progress towards storage of alkali metal ions (Li+, Na+, and K+), H+, and NH4+ in aqueous electrolytes, which, however, has yet not been specifically summarized. This review selects some representative research to introduce the progress of PBAs in these battery systems and aims to discuss the crucial role of ionic charge carrier in affecting the overall electrode performance. Besides, some critical knowledge gaps and challenges of PBA materials have been pointed out for future development. Graphic This review introduces the recent progress of Prussian blue analogues for aqueous monovalent ion batteries, including metal ions of Li+, Na+, K+, and non-metal ions of H+ and NH4+.					Wu, Xianyong/KVC-1701-2024; Ji, Xiulei/K-5675-2012	Qiu, Shen/0009-0005-5667-2126; Wu, Xianyong/0000-0002-1687-6643													2520-8489	2520-8136				JUN	2022	5	2					242	262		10.1007/s41918-020-00088-x	http://dx.doi.org/10.1007/s41918-020-00088-x		MAR 2021											WOS:000625508800001
J	Félix, G; Mikolasek, M; Shepherd, HJ; Long, J; Larionova, J; Guari, Y; Itié, JP; Chumakov, AI; Nicolazzi, W; Molnár, G; Bousseksou, A				Felix, Gautier; Mikolasek, Mirko; Shepherd, Helena J.; Long, Jerome; Larionova, Joulia; Guari, Yannick; Itie, Jean-Paul; Chumakov, Aleksandr I.; Nicolazzi, William; Molnar, Gabor; Bousseksou, Azzedine			Elasticity of Prussian-Blue-Analogue Nanoparticles	EUROPEAN JOURNAL OF INORGANIC CHEMISTRY												We report on the elastic properties of Ni/[Fe(CN)(6)] Prussian-blue-analogue nanoparticles investigated by high-pressure synchrotron X-ray diffraction and nuclear inelastic scattering. For 3 nm and 115 nm particles, we have obtained bulk moduli of (30.3 +/- 3.8) GPa and (24.5 +/- 3.2) GPa, with Debye sound velocities of (2496 +/- 46) m s(-1) and (2407 +/- 38) m s(-1), respectively. Combining these results, Poisson's ratio, Young's modulus, the shear modulus, and the transversal/longitudinal sound velocities have been calculated for each particle size. All of these physical quantities suggest a stiffening of the lattice when the particle size decreases, which is mainly attributed to the reduction of iron ions on the particle surface.					William, Nicolazzi/JOJ-8290-2023; Larionova, Joulia/T-8900-2019; Shepherd, Helena/AFR-2995-2022; Long, Jérôme/AAK-2994-2021; Molnar, Gabor/Q-6874-2016; guari, yannick/C-5015-2018	Molnar, Gabor/0000-0001-6032-6393; Nicolazzi, William/0000-0002-7982-4568; Larionova, Joulia/0000-0002-3279-9158; guari, yannick/0000-0001-5205-3225; Felix, Gautier/0000-0002-2761-6353													1434-1948	1099-0682				JAN 31	2018		3-4			SI		443	448		10.1002/ejic.201700796	http://dx.doi.org/10.1002/ejic.201700796													WOS:000428530600025
J	Pacanowska, A; Muniraju, NKC; Sas, W; Perzanowski, M; Mitura-nowak, M; Fitta, M				Pacanowska, A.; Muniraju, N. K. Chogondahalli; Sas, W.; Perzanowski, M.; Mitura-nowak, M.; Fitta, M.			Prussian Blue Analogues Cubes in the Organic Polymer Electrospun Fibres	ACTA PHYSICA POLONICA A												This report presents the preparation and characterization of a new composite containing Prussian blue analogues nanoparticles and poly(N-vinyl-2-pyrrolidone) (PVP). Nanoparticles of nickel hexacyanoferrate (NiHCFe) and nickel hexacyanochromate (NiHCCr) were synthesized by the citrate-assisted co-precipitation method. Basic characterization revealed uniform cubic particles with an average size of 238 nm (NiHCFe) and 80 nm (NiHCCr). In the next step, these nanocubes were incorporated into composite fibres using electrospinning technique. The resulting fibres exhibited distinctive colours, and scanning electron microscope imaging showed differences in fibre morphology between NiHCFe/PVP and NiHCCr/PVP composites. The obtained results indicate the successful synthesis and characterization of Prussian blue analogue nanoparticles, as well as their integration into composite fibres, opening up possibilities for diverse applications.					Sas, Wojciech/X-8403-2018; Fitta, Magdalena/M-7017-2018; Chogondahalli Muniraju, Naveen Kumar/G-9769-2018; Perzanowski, Marcin/P-3485-2016	Chogondahalli Muniraju, Naveen Kumar/0000-0002-8867-8291; Perzanowski, Marcin/0000-0002-3319-3801													0587-4246	1898-794X				FEB	2024	145	2								10.12693/APhysPolA.145.133	http://dx.doi.org/10.12693/APhysPolA.145.133													WOS:001207538400013
