PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Ledo, A; Fernandes, E; Barbosa, RM				Ledo, A.; Fernandes, E.; Barbosa, R. M.			Real-time neurochemical sensing of hydrogen peroxide production in brain tissue using advanced nanostructured Au microelectrodes functionalized with a ruthenium purple film	ELECTROCHIMICA ACTA												Real-time monitoring of H2O2 is essential for understanding its role in neurological physio(path)ology. In this study, we developed an advanced electrochemical sensor utilizing nanostructured gold wire microelectrodes functionalized with a Ruthenium Purple (RP) film, a polynuclear transition metal hexacyanoferrate analog of the prototypical Prussian Blue (PB). The RP film exhibits enhanced stability in neutral buffer solutions and reduced interference from biologically relevant cations such as Na+, Mg2+, and Ca2+. By integrating gold nanoparticles onto a nanoporous gold surface, we significantly increased the electroactive surface area of the microwire (rho=26.1 f 10.2). The electrodeposition of a thin RP film (4.23 f 1.2 nm) resulted in a highly selective H2O2 sensor, operating at an optimal working potential of -0.05 V vs. Ag/AgCl, with a linear detection range of 0.5-500 mu M, sensitivity of 1.18 f 0.37 mu A mu M-1 cm-2, and a low limit of detection (LOD) of 66.6 f 34.9 nM. Adding a Nafion (R) layer enhanced the sensor's operational stability, maintaining optimal performance over three hours under physiological conditions of pH and ion concentration. We validated the sensor's capability to monitor transient changes in H2O2 concentration in brain tissue by assessing its response to exogenously applied H2O2. Furthermore, we demonstrated that glutamate receptor activation in hippocampal slices induces a rapid and transient increase in extracellular H2O2 levels, underscoring the sensor's potential for studying oxidative stress in neurobiological contexts.					Ledo, Ana/L-6016-2013; Barbosa, Rui/U-7117-2019; Ledo, Ana/F-5733-2010	Ledo, Ana/0000-0002-7737-4241													0013-4686	1873-3859				FEB 1	2025	512								145447	10.1016/j.electacta.2024.145447	http://dx.doi.org/10.1016/j.electacta.2024.145447		DEC 2024											WOS:001434357500001
J	Yuan, BW; Liu, B; Liu, J; Meng, X; Xie, JH; Song, YD; Gu, P; Chen, YJ; Han, CM; Zou, JL				Yuan, Bowen; Liu, Bin; Liu, Jin; Meng, Xin; Xie, Jiahao; Song, Yidong; Gu, Peng; Chen, Yanjie; Han, Chunmiao; Zou, Jinlong			A(CoFe)(S2)2/CoFe heterostructure constructed in S, N co-doped carbon nanotubes as an efficient oxygen electrocatalyst for zinc-air battery	JOURNAL OF COLLOID AND INTERFACE SCIENCE												Transition metal alloys can exhibit synergistic intermetallic effects to obtain high activities for oxygen reduction/evolution reactions (ORR/OER). However, due to the insufficient stability of active sites in alkaline electrolytes, conventional alloy catalysts still do not meet practical needs. Herein, by using polypyrrole tubes and cobalt-iron (CoFe) Prussian blue analogs as precursors, CoFe sulfides is in-situ formed on CoFe alloys to construct (CoFe)(S-2)(2)/CoFe heterostructure in sulfur (S) and nitrogen (N) co-doped carbon nanotubes (CoFe@NCNTs-nS) via a low-temperature sulfidation strategy. The as-marked CoFe@NCNTs-12.5S exhibits a comparable ORR activity (half-wave potential of 0.901 V) to Pt/C (0.903 V) and a superior OER activity (overpotential of 272 mV at 10 mA cm(-2)) to RuO2 (299 mV). CoFe@NCNTs-12.5S also exhibits ultralow charge transfer resistances (ORR-6.36 Omega and OER-0.21 Omega) and an excellent potential difference of 0.617 V. The sulfidation-induced (CoFe)(S-2)(2)/CoFe heterojunctions can accelerate interfacial charge transfer process. Tubular structure not only disperses the (CoFe)(S-2)(2)/CoFe heterostructure, but also reduces the corrosion of active-sites to enhance catalysis stability. Zinc-air battery with CoFe@NCNTs-12.5S achieves a high specific capacity (718.1 mAh g(-1)), maintaining a voltage gap of 0.957 V after 400 h. This work reveals the potential of interface engineering for boosting ORR/OER activities of alloys via in-situ heterogenization.					Zou, Jinlong/N-6220-2019; Gu, Peng/A-9150-2016; Chen, Yan-Jie/GXM-9980-2022; han, chunmiao/Q-7587-2017														0021-9797	1095-7103				FEB	2025	679		A				75	89		10.1016/j.jcis.2024.09.213	http://dx.doi.org/10.1016/j.jcis.2024.09.213		OCT 2024						39357228					WOS:001331130500001
J	Wang, CL; Gao, YX; Sun, LS; Zhao, Y; Yin, DM; Wang, HR; Cao, JC; Cheng, Y; Wang, LM				Wang, Chunli; Gao, Yuxing; Sun, Lianshan; Zhao, Yuan; Yin, Dongming; Wang, Hairui; Cao, Jingchao; Cheng, Yong; Wang, Limin			Anti-catalytic and zincophilic layers integrated zinc anode towards efficient aqueous batteries for ultra-long cycling stability	NANO RESEARCH												Aqueous zinc-based battery is usually plagued by serious dendrites and side reactions including Zn corrosion and water decomposition on the anode. To address the drawbacks, constructing coating layers with high conductivity and anti-catalytic effects on hydrogen evolution reaction has been considered as an efficient strategy. Herein, cheap and abundant two-dimensional (2D) conductive graphite (KS-6) coating layer with high electronic conductivity (similar to 10(6) S.m(-1)) could directly form strong bonding with Zn foil due to high zincophilicity, which correspondingly protects Zn metal from liquid electrolyte to inhibit parasitic hydrogen evolution and guide uniform Zn electrodeposition during cycling. The KS-6 layer owns a profitable charge redistribution effect to endow Zn anode with a lower nucleation energy barrier and a more uniformly distributed electric field compared with bare Zn. Therefore, such integrated Zn anode exhibits low voltage hysteresis (similar to 38 mV) and excellent cycling stability with dendrite-free behaviors (1 mA.cm(-2) and 2 mA.cm(-2)) over 2,000 h, far outperforming many reported Zn metal anodes in aqueous systems. Encouragingly, in light of the superior Zn@KS-6 anode, VNOx powders and Prussian blue analogs Mn2Fe(CN)(6) are applied as the cathode materials to assemble full batteries, which show remarkable cycling stabilities and high Coulombic efficiencies (CEs) over 200 cycles with capacity retention of 81.5% for VNOx//Zn@KS-6 battery and over 400 cycles with capacity retention of 94.6% for Mn2Fe(CN)(6)//Zn@KS-6 battery, respectively.						Wang, Hairui/0000-0002-5853-1723													1998-0124	1998-0000				SEP	2022	15	9					8076	8082		10.1007/s12274-022-4458-4	http://dx.doi.org/10.1007/s12274-022-4458-4		JUL 2022											WOS:000819726800006
J	Yang, D; Tan, HT; Rui, XH; Yu, Y				Yang, Dan; Tan, Huiteng; Rui, Xianhong; Yu, Yan			Electrode Materials for Rechargeable Zinc-Ion and Zinc-Air Batteries: Current Status and Future Perspectives	ELECTROCHEMICAL ENERGY REVIEWS												Advanced energy storage systems hold critical significance in satisfying the ever-increasing global demand for energy. And as a viable and effective alternative to lithium-ion batteries that dominate the current energy market, Zn-based batteries [i.e. Zn-ion batteries (ZIBs) and Zn-air batteries (ZABs)] have attracted extensive research efforts. Zn metal possesses many advantages because of its high theoretical capacity, its inexpensiveness and its good safety characteristic, and in recent years, tremendous efforts have been carried out to accelerate the development of ZIBs and ZABs with various electrode materials and electrocatalysts being proposed and investigated. In addition, with advances in characterization techniques, the underlying reaction mechanisms of these materials are also being elucidated. Therefore, this review will provide a comprehensive summary of the latest progress in various electrode materials adopted in the current ZIBs and ZABs along with corresponding mechanisms. Specifically, Mn- and V-containing cathode materials for ZIBs and associated reaction mechanisms will be thoroughly discussed, and emerging cathodes such as Prussian blue analogues, NASICON-type nanostructures and organic compounds will be presented. In terms of ZABs, this review will discuss three major types of electrocatalysts, including noble metals, heteroatom-doped carbons and transition metal oxides/sulphides/phosphides/nitrides. In addition, as a critical factor in the performance of Zn-based batteries, challenges encountered by the current Zn anodes and strategies developed to tackle these issues will be discussed as well. Finally, a short summary including the current progress and future perspectives of ZIBs and ZABs will be provided. Graphical Abstract					tan, hui/KYP-1763-2024; Yu, Yan/C-7031-2012; Rui, Xianhong/D-2604-2015; YANG, Dan/HHD-2733-2022; Yu, Yan/ABY-4357-2022	Yang, Dan/0000-0001-6099-472X; Yu, Yan/0000-0002-3685-7773													2520-8489	2520-8136				SEP	2019	2	3					395	427		10.1007/s41918-019-00035-5	http://dx.doi.org/10.1007/s41918-019-00035-5													WOS:000606752300002
J	Zhang, X; Liu, P; Sun, YF; Zhan, TR; Liu, QY; Tang, L; Guo, JX; Xia, YY				Zhang, Xiao; Liu, Pei; Sun, Yanfang; Zhan, Tianrong; Liu, Qingyun; Tang, Lin; Guo, Jinxue; Xia, Yongyao			Ni3[Fe(CN)6]2 nanocubes boost the catalytic activity of Pt for electrochemical hydrogen evolution	INORGANIC CHEMISTRY FRONTIERS												Cost-effective and highly efficient electrocatalysts for hydrogen evolution reactions (HERs) are crucial and highly desired in the sustainable energy field. Despite tremendous efforts on the development of alternative catalysts, platinum (Pt) is still the most efficient catalyst for HERs. Nevertheless, it remains a great challenge to output sufficient catalytic activity with a low Pt loading. In this research, Prussian blue analogues (PBA) of nickel hexacyanoferrate (Ni-3[Fe(CN)(6)](2)) nanocubes were used as the active substrate to enhance the HER activity of Pt by fabricating a Pt-Ni-3[Fe(CN)(6)](2) interface. The Ni species of Ni-3[Fe(CN)(6)](2) play key roles in contributing to the water dissociation and improving the HER kinetics, as well as helping to maintain the catalytic activity of Pt during a long-term durability test in both acidic and alkaline media. As a result, the new Ni-3[Fe(CN)(6)](2)/Pt hybrid catalyst exhibits a superior catalytic property for HERs in both sulfuric acid (H2SO4) and potassium hydroxide with a low Pt loading of only 4.0%. Impressively, a low overpotential of 59 mV is achieved at current density of 10 mA cm(-2) in H2SO4, and a high mass current density of 3.75 mA g Pt-1 is obtained at an overpotential of 70 mV, which outperforms currently reported Pt-based catalysts in acid electrolyte. It is believed that this work will inspire the design of PBA-based hybrid nanomaterials with improved or new functionalities for energy conversion and catalysis applications.					Zhan, Tianrong/IAO-8402-2023; Xia, Yongyao/AGA-3126-2022; Zhang, Xiao/L-3690-2016; Guo, Jinxue/C-9071-2014	Zhang, Xiao/0000-0003-0165-1561; Guo, Jinxue/0000-0003-3263-7260													2052-1553					JUL 1	2018	5	7					1683	1689		10.1039/c8qi00134k	http://dx.doi.org/10.1039/c8qi00134k													WOS:000438238300024
J	Zhang, DW; Fu, HW; Ma, XM; Yu, XZ; Li, FX; Zhou, J; Lu, BG				Zhang, Dianwei; Fu, Hongwei; Ma, Xuemei; Yu, Xinzhi; Li, Fuxiang; Zhou, Jiang; Lu, Bingan			Nonflammable Phosphate-Based Electrolyte for Safe and Stable Potassium Batteries Enabled by Optimized Solvation Effect	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION												Current potassium-ion batteries (PIBs) are limited in safety and lifetime owing to the lack of suitable electrolyte solutions. To address these issues, herein, we report an innovative non-flammable electrolyte design strategy that leverages an optimal moderate solvation phosphate-based solvent which strikes a balance between solvation capability and salt dissociation ability, leading to superior electrochemical performance. The formulated electrolyte simultaneously exhibits the advantages of low salt concentration (only 0.6 M), low viscosity, high ionic conductivity, high oxidative stability, and safety. Our electrolyte also promotes the formation of self-limiting inorganic-rich interphases at the anode surface, alongside robust cathode-electrolyte interphase on iron-based Prussian blue analogues, mitigating electrode/electrolyte side reactions and preventing Fe dissolution. Notably, the PIBs employing our electrolyte exhibit exceptional durability, with 80 % capacity retention after 2,000 cycles at high-voltage of 4.2 V in a coin cell. Impressively, in a larger scale pouch cell, it maintains over 81 % of its initial capacity after 1,400 cycles at 1 C-rate with high average Coulombic efficiency of 99.6 %. This work represents a significant advancement toward the realization of safe, sustainable, and high-performance PIBs. The safety and lifespan of energy storage devices have always been a challenge for the development of batteries, and potassium-ion batteries are no exception. In this work, we present an advanced non-flammable electrolyte achieved by carefully manipulating the solvation capability of a family of phosphate solvents. The customized electrolyte enables safe and stable cycling of potassium-ion batteries. image					Zhou, Jiang/AAL-3069-2020; Li, Fuxiang/O-9132-2015	Bingan, Lu/0000-0002-0075-5898													1433-7851	1521-3773				JUL 15	2024	63	29								10.1002/anie.202405153	http://dx.doi.org/10.1002/anie.202405153		JUN 2024						38709123					WOS:001246113300001
J	Wang, RQ; He, Y; Tang, CH; Wu, XH; Zhuang, QX; Liu, XY; Liu, X; Zuo, PY				Wang, Ruoqi; He, Yu; Tang, Chuanhao; Wu, Xiaohan; Zhuang, Qixin; Liu, Xiaoyun; Liu, Xing; Zuo, Peiyuan			Constructing crystalline/amorphous heterojunction in FeCo@C nanoboxes for enhanced electromagnetic wave absorption	CARBON												The advanced electromagnetic applications urgently require high performance absorbers with sophisticated structural and compositional design. An effective strategy is to construct a three-dimensional hollow structure, with enhanced electromagnetic wave dissipation capacity over a wide effective absorption bandwidth. However, a major challenge remains due to a single loss mechanism system derived from the conventional hollow nanobox structure, which seriously causes impedance mismatch and lack of polarization centers. Herein, we innovatively construct novel hollow structure FeCo@C (CMFC) with crystalline/amorphous heterojunction FeCo/C particles by cation exchange method, thereby achieving enhanced electromagnetic wave absorption. The CMFC achieves Ku-band effective absorption with a reflection loss of-50.57 dB and effective absorption bandwidth of 5.35 GHz at 1.8 mm. The CMFC exhibits excellent microwave absorption performance due to the presence of crystalline/ amorphous FeCo/C heterojunction, which is attributed to the balanced dielectric loss and optimized impedance matching characteristics. CST simulations demonstrate that the CMFC has a radar scattering interface reduction value as high as 26.12 dBm (Wu et al., 2023) [2] at a scattering angle of 0 degrees. This work provides new ideas for the rational design of hollow nanostructures with heterojunction particles for efficient microwave absorption.					王, 若琦/LFS-9037-2024; Zuo, Peiyuan/KHZ-5047-2024	Liu, Xing/0000-0001-8587-2606; Zuo, Peiyuan/0000-0003-3140-8650													0008-6223	1873-3891				OCT	2024	229								119494	10.1016/j.carbon.2024.119494	http://dx.doi.org/10.1016/j.carbon.2024.119494		AUG 2024											WOS:001288676600001
J	Do, VQ; Reale, ER; Loud, IC; Rozzi, PG; Tan, HS; Willis, DA; Smith, KC				Do, Vu Q.; Reale, Erik R.; Loud, Irwin C.; Rozzi, Paul G.; Tan, Haosen; Willis, David A.; Smith, Kyle C.			Embedded, micro-interdigitated flow fields in high areal-loading intercalation electrodes towards seawater desalination and beyond	ENERGY & ENVIRONMENTAL SCIENCE												Faradaic deionization (FDI) is a promising technology for energy-efficient water desalination using porous electrodes containing redox-active materials. Herein, we demonstrate for the first time the capability of a symmetric FDI flow cell to produce freshwater (<17.1 mM NaCl) from concentrated brackish water (118 mM), to produce effluent near freshwater salinity (19.1 mM) from influent with seawater-level salinity (496 mM), and to reduce the salinity of hypersaline brine from 781 mM to 227 mM. These remarkable salt-removal levels were enabled by using flow-through electrodes with high areal-loading of nickel hexacyanoferrate (NiHCF) Prussian Blue analogue intercalation material. The pumping energy consumption due to flow-through electrodes was mitigated by embedding an interdigitated array of <100 mu m wide channels in the electrodes using laser micromachining. The micron-scale dimensions of the resulting embedded, micro-interdigitated flow fields (e mu-IDFFs) facilitate flow-through electrodes with high apparent permeability while minimizing active-material loss. Our modeling shows that these e mu-IDFFs are more suitable for our intercalation electrodes because they have >100x lower permeability compared to common redox-flow battery electrodes, for which millimetric flow-channel widths were used exclusively in the past. Total desalination thermodynamic energy efficiency (TEE) was improved by more than ten-fold relative to unpatterned electrodes: 40.0% TEE for brackish water, 11.7% TEE for hypersaline brine, and 7.4% TEE for seawater-salinity feeds. Water transport between diluate and brine streams and charge efficiency losses resulting from (electro)chemical effects are implicated as limiting energy efficiency and water recovery, motivating their investigation for enhancing future FDI performance.					Smith, Kyle/KBQ-3069-2024; Tan, Haosen/HDO-5942-2022; Smith, Kyle/C-1774-2015	Willis, David/0000-0003-3376-6419; Smith, Kyle/0000-0002-1141-1679													1754-5692	1754-5706				JUL 12	2023	16	7					3025	3039		10.1039/d3ee01302b	http://dx.doi.org/10.1039/d3ee01302b		JUN 2023											WOS:001004710400001
J	Chen, JS; Li, H; Pei, ZX; Huang, QW; Yuan, ZW; Wang, CJ; Liao, XZ; Henkelman, G; Chen, Y; Wei, L				Chen, Junsheng; Li, Hao; Pei, Zengxia; Huang, Qianwei; Yuan, Ziwen; Wang, Chaojun; Liao, Xiaozhou; Henkelman, Graeme; Chen, Yuan; Wei, Li			Catalytic activity atlas of ternary Co-Fe-V metal oxides for the oxygen evolution reaction	JOURNAL OF MATERIALS CHEMISTRY A												The sluggish oxygen evolution reaction (OER) is a crucial limiting factor in many renewable energy conversion and storage devices. Multi-metal oxides have been explored as efficient electrocatalysts for the OER; however, the ideal elemental composition for multi-metal oxides is unknown. We first performed density functional theory calculations, which predicted that Co oxyhydroxides doped with Fe and V have excellent catalytic activity. We synthesized a series of amorphous Co-Fe-V ternary metal oxides with a precisely controlled metal molar composition (denoted as CoaFebVcOx, wherea+b+c= 10), uniformly distributed elements and identical morphologies by using Prussian blue analogues (PBAs) as novel metal precursors. A systematic investigation was carried out to establish correlations between the elemental compositions and the OER activity for CoaFebVcOx, resulting in a comprehensive catalytic activity atlas of ternary Co-Fe-V metal oxides for the OER, which can serve as a roadmap for electrocatalyst development. In particular, Co(3)Fe(4)V(3)O(x)with an elemental composition of Co : Fe : V = 3 : 4 : 3 shows the best performance, with an overpotential of merely 249 mV to reach a current density of 10 mA cm(-2), and a low Tafel slope of 41 mV dec(-1), outperforming a commercial IrO(x)catalyst. X-ray photoelectron spectroscopy analysis reveals strong electronic synergies among the metal cations in CoaFebVcOx. The V and Fe doping can affect the electronic structure of Co to yield nearly optimal adsorption energies for OER intermediates, giving rise to the superior activity. Furthermore, composition-tuneable and uniform PBAs may serve as versatile and efficient metal precursors to produce many more multi-metal oxides for various renewable energy applications.					Pei, Zengxia/ABD-5744-2021; Wei, Li/AAN-2426-2021; Li, Hao/J-6893-2013; Henkelman, Graeme/A-9301-2008; Chen, Yuan/C-6637-2008; Liao, Xiaozhou/B-3168-2009	Henkelman, Graeme/0000-0002-0336-7153; Yuan, Ziwen/0000-0002-3331-0668; Chen, Yuan/0000-0001-9059-3839; Liao, Xiaozhou/0000-0001-8565-1758; Li, Hao/0000-0002-7577-1366; Wei, Li/0000-0001-8771-2921													2050-7488	2050-7496				AUG 21	2020	8	31					15951	15961		10.1039/d0ta04088f	http://dx.doi.org/10.1039/d0ta04088f													WOS:000560225400053
J	Zhong, Q; Zhang, T; Huang, Z; Su, LH; Xue, YW; Gao, R; Feng, H; Hong, JM				Zhong, Qing; Zhang, Ting; Huang, Zhi; Su, Longhui; Xue, Yuwei; Gao, Ran; Feng, Han; Hong, Junming			In-situ immobilization of Fe PBA in the zeolite structure for efficient degradation of benzalkonium chloride: Towards compressed reaction site loss and promoted PMS utilization	CHEMICAL ENGINEERING JOURNAL												Advanced oxidation processes based on peroxymonosulfate (PMS) for the removal of quaternary ammonium compounds have challenges, including high metal leaching and excessive oxidant consumption, which limit their practical application. In this work, Fe atoms were firstly intercalated into the structure of the zeolite through ion exchange and then transformed into Fe prussian blue analog (Fe PBA) in-situ through coprecipitation followed by a calcination process. Through immobilizing the reactive catalytic center to a specific site, the leaching rate of Fe was compressed to about 0.25 mg center dot L-1, accounting for only 6 % of the Fe PBA without zeolite immobilization. The incorporation of zeolite has triggered increased hydrophilicity while retaining the negatively charged property of Fe PBA, implying enhanced dispersity of the catalyst in the aqueous environment and attraction towards benzalkonium chloride (BAC) and PMS molecules. Intuitively, the reactive oxidative species (ROS) generated through PMS activation require less diffusion distance to encounter BAC molecules, as they are confined within the microenvironment around the surface due to this weak electrostatic attraction. Therefore, an increase in ROS utilization efficiency was observed with a significant reduction in PMS dosage. Remarkably, 99.83 % of BAC (10 mg center dot L-1) was eliminated within 60 min with only 0.5 mM PMS, which is much lower than the reported 5-100 mM PMS. More importantly, the post-annealing brought an increased amount of graphitic carbon, which enhanced singlet oxygen production and further improved the degradation efficiency of BAC molecules due to its unique selectivity. This study presents a feasible strategy for simultaneously enhancing PMS utilization and reducing metal ion leaching.					Zhang, Ting/MAH-8340-2025														1385-8947	1873-3212				DEC 1	2024	501								157655	10.1016/j.cej.2024.157655	http://dx.doi.org/10.1016/j.cej.2024.157655		NOV 2024											WOS:001360132000001
